"","metadata.Sample_name","metadata.Sample","metadata.Type","metadata.Location","metadata.Depth","metadata.Sort1","metadata.Sort2","metadata.Stage","metadata.Stage1","metadata.Study_day","metadata.Moisture","metadata.pH","metadata.EC","metadata.DO","metadata.CO2","metadata.NH4","metadata.NO3","metadata.TN","metadata.TC","metadata.CN_ratio","metadata.copies.gdw","metadata.log.copies.gdw","metadata.fungal.bacterial.ratio","metadata.log.f.b.ratio","metadata.Chao1","metadata.Shannon","metadata.InvSimpson","metadata.X","metadata.Phase","metadata.Donor"
"WIN_A0","A0","con15_mean","con15","control","core","A","con","Initial","Control",0,0.574357826,7.59,53.23,101.6333333,1.993868163,8.984475212,6.626388101,0.599333333,8.093333333,13.798,2.1153e+10,10.32537278,0.0239132,-1.621363151,3156.091691,5.950743895,96.08621602,NA,"Initial","Control_win"
"WIN_A0_CONINT","A0_CONINT","conint_mean","conint","control","interface","A","con","Initial","Control",0,0.963063224,7.41,52.79333333,101.6333333,7.393177147,13.23748193,7.270291164,0.987666667,15.912,16.17936667,38283400000,10.58301062,0.0464278,-1.333221715,3537.331395,6.306857166,164.7655258,NA,"Initial","Control_win"
"WIN_A0_CORE1","A0_CORE1","gr_15_win1","gr15","grave","core","A","DA","Initial","D_Initial",0,0.559730791,7.64,38.13,104.2,1.743355568,8.651306786,5.573438026,0.483,6.802,14.095,26820200000,10.42846204,0.0304409,-1.516543017,3699.983146,5.908329619,80.4754693,NA,"Initial","Donor1_win"
"WIN_A0_CORE2","A0_CORE2","gr_15_win2","gr15","grave","core","A","DA","Initial","D_Initial",0,0.547393365,7.46,52.14,102.3,2.213477386,8.851090047,5.190988942,0.402,6.244,15.5285,3.3768e+10,10.52850529,0.0229702,-1.638835273,3508.359649,5.918235604,78.88622205,NA,"Initial","Donor2_win"
"WIN_A0_CORE3","A0_CORE3","gr_15_win3","gr15","grave","core","A","DA","Initial","D_Initial",0,0.657713929,7.56,66.98,102.5,2.203526346,10.2115178,6.988921924,0.749,9.578,12.7833,33432400000,10.52416756,0.0180632,-1.743204936,3374.017647,6.046590456,124.7044509,NA,"Initial","Donor3_win"
"WIN_A0_IN1","A0_IN1","gr_int_win1","grint","grave","interface","A","DA","Initial","D_Initial",0,0.896494157,7.18,50.21,104.2,7.102487936,5.552934891,6.824850306,0.895,14.789,16.5244,50012300000,10.69907641,0.0473483,-1.32469579,4152.62645,6.295921764,157.5088453,NA,"Initial","Donor1_win"
"WIN_A0_IN2","A0_IN2","gr_int_win2","grint","grave","interface","A","DA","Initial","D_Initial",0,0.909016393,7.36,49.8,102.3,7.093167852,7.279715847,5.116163934,0.914,15.226,16.6521,67731500000,10.83079078,0.0274145,-1.562018944,3971.777506,6.330480825,168.4735171,NA,"Initial","Donor2_win"
"WIN_A0_IN3","A0_IN3","gr_int_win3","grint","grave","interface","A","DA","Initial","D_Initial",0,0.895881896,7.57,93.44,102.5,5.381384364,8.786780627,5.235161875,0.997,14.934,14.9822,36420100000,10.56134066,0.0313677,-1.503517174,4013.221951,6.333833131,173.4658496,NA,"Initial","Donor3_win"
"WIN_B21","B21","con15_mean","con15","control","core","B","con","Bloat","Control",21,0.620715121,7.586666667,73.14666667,98.9,2.567849507,9.032047027,9.594457781,0.619,8.639,13.9594,9197690000,9.963678902,0.0509558,-1.292806392,4058.791667,6.110013718,119.3132903,NA,"BLOOM","Control_win"
"WIN_B21_CONINT","B21_CONINT","conint_mean","conint","control","interface","B","con","Bloat","Control",21,0.890714021,7.383333333,67.6,98.9,6.553516655,21.27850447,9.134656014,0.882666667,13.42866667,15.17986667,22934300000,10.3604853,0.0685568,-1.163949546,3242.459627,6.334394098,176.0649975,NA,"BLOOM","Control_win"
"WIN_B21_CORE1","B21_CORE1","gr_15_win1","gr15","grave","core","B","DB","Bloat","E_Bloat",21,0.512763596,7.27,80.28,98.2,2.265607509,11.35581206,16.82596522,0.439,6.359,14.486,21896900000,10.34038179,0.0259568,-1.585749218,3349.385321,5.873803735,89.72607631,NA,"BLOOM","Donor1_win"
"WIN_B21_CORE2","B21_CORE2","gr_15_win2","gr15","grave","core","B","DB","Bloat","E_Bloat",21,0.505099302,7.49,99.41,97.45,2.31624313,17.72003578,18.37425228,0.38,4.982,13.115,25476700000,10.40614334,0.0467905,-1.329842542,3529.304348,6.064720992,112.6743579,NA,"BLOOM","Donor2_win"
"WIN_B21_CORE3","B21_CORE3","gr_15_win3","gr15","grave","core","B","DB","Bloat","E_Bloat",21,0.707772795,7.36,164,95.3,4.363127421,34.49701046,41.63322372,0.786,9.618,12.235,11876400000,10.07468635,0.0586272,-1.23190097,2703.447236,5.928773799,117.4182795,NA,"BLOOM","Donor3_win"
"WIN_B21_IN1","B21_IN1","gr_int_win1","grint","grave","interface","B","DB","Bloat","E_Bloat",21,0.873472322,7.1,69.03,98.2,16.32939548,19.77387587,13.07683681,0.972,14.227,14.6345,43764200000,10.64111866,0.0361932,-1.441373307,3308.610028,6.100267782,124.1005682,NA,"BLOOM","Donor1_win"
"WIN_B21_IN2","B21_IN2","gr_int_win2","grint","grave","interface","B","DB","Bloat","E_Bloat",21,0.803582458,7.34,102.4,97.45,14.22709964,67.22793494,35.94660078,0.743,11.124,14.9693,48545900000,10.68615267,0.0257025,-1.590024208,3583.902778,6.023993734,106.1211254,NA,"BLOOM","Donor2_win"
"WIN_B21_IN3","B21_IN3","gr_int_win3","grint","grave","interface","B","DB","Bloat","E_Bloat",21,0.970542636,7.24,101.4,95.3,26.29995213,19.65287855,1.111386047,1.022,14.542,14.2241,34645700000,10.53964989,0.00958281,-2.018506961,2442.731092,5.905200511,98.36766433,NA,"BLOOM","Donor3_win"
"WIN_C38","C38","con15_mean","con15","control","core","C","con","Active","Control",38,0.555691534,7.636666667,49.06666667,102.7666667,2.340214273,9.116101795,8.877808412,0.628666667,8.327,13.42406667,15925900000,10.20210487,0.0230321,-1.637666184,2477.087866,5.847225941,95.91256274,NA,"BLOOM","Control_win"
"WIN_C38_CONINT","C38_CONINT","conint_mean","conint","control","interface","C","con","Active","Control",38,0.888315915,7.386666667,54.17,102.7666667,6.819598153,11.4925194,12.39970941,1.005666667,15.43933333,15.43776667,8945400000,9.951599609,0.029966,-1.523370695,2884.037037,6.160997381,171.3818972,NA,"BLOOM","Control_win"
"WIN_C38_CORE1","C38_CORE1","gr_15_win1","gr15","grave","core","C","DC","Active","F_Active",38,0.457645765,6.98,129.6,101.1,17.92548838,176.2196553,14.87576091,0.57,7.812,13.7009,27546900000,10.44007235,0.0123355,-1.908843688,2311.743243,5.371075828,53.27081742,NA,"BLOOM","Donor1_win"
"WIN_C38_CORE2","C38_CORE2","gr_15_win2","gr15","grave","core","C","DC","Active","F_Active",38,0.512117347,7.34,238.6,99.5,21.04910303,135.4453912,13.48405442,0.444,5.966,13.4518,11904200000,10.07569976,0.03366,-1.472885348,1442.007092,4.230420045,13.54204447,NA,"BLOOM","Donor2_win"
"WIN_C38_CORE3","C38_CORE3","gr_15_win3","gr15","grave","core","C","DC","Active","F_Active",38,0.691954023,7.43,211.3,103.3,19.03356844,170.5489655,46.32795709,0.818,10.516,12.86,28861400000,10.46031755,0.0577743,-1.23826527,2050.634921,5.557287371,71.14940124,NA,"BLOOM","Donor3_win"
"WIN_C38_IN1","C38_IN1","gr_int_win1","grint","grave","interface","C","DC","Active","F_Active",38,0.785007072,7.12,957.4,101.1,79.10191913,3004.047902,1.130504479,1.199,18.02,15.033,1.04515e+11,11.01917876,4.26987e-06,-5.369585689,1717.591954,4.430926685,19.72837723,NA,"BLOOM","Donor1_win"
"WIN_C38_IN2","C38_IN2","gr_int_win2","grint","grave","interface","C","DC","Active","F_Active",38,0.838885112,7.46,591.7,99.5,67.94360298,1493.910265,3.822429186,1.08,13.923,12.8868,30822500000,10.48886768,0.00207722,-2.682517192,2040.305085,5.222694015,50.63538067,NA,"BLOOM","Donor2_win"
"WIN_C38_IN3","C38_IN3","gr_int_win3","grint","grave","interface","C","DC","Active","F_Active",38,0.866810655,7.01,316.4,103.3,72.99272161,1988.52671,0.39825294,1.125,20.667,18.3761,34327800000,10.53564647,0.0242469,-1.615344056,1974.268156,4.64996566,22.33855901,NA,"BLOOM","Donor3_win"
"WIN_D55","D55","con15_mean","con15","control","core","D","con","Active_adv","Control",55,0.476918361,7.796666667,47.79333333,99.63333333,2.74338725,7.260269713,11.71988568,0.585666667,8.417666667,14.2118,20590900000,10.3136754,0.0499626,-1.301354616,2839,6.068870966,122.1222935,NA,"BLOOM","Control_win"
"WIN_D55_CONINT","D55_CONINT","conint_mean","conint","control","interface","D","con","Active_adv","Control",55,0.754784522,7.446666667,72.00666667,99.63333333,7.674621795,16.67085887,15.50197149,0.918,15.13266667,16.33873333,1361660000,9.134069706,0.0855465,-1.067797601,1880.338983,6.003254974,155.3981977,NA,"BLOOM","Control_win"
"WIN_D55_CORE1","D55_CORE1","gr_15_win1","gr15","grave","core","D","DD","Active_adv","F_Active",55,0.548366432,7.58,266.8,89.6,26.11173309,364.4235234,63.05773906,0.571,8.299,14.5353,1.1103e+10,10.04543943,0.0123363,-1.908813927,2237.746725,5.860733885,101.7713143,NA,"BLOOM","Donor1_win"
"WIN_D55_CORE2","D55_CORE2","gr_15_win2","gr15","grave","core","D","DD","Active_adv","F_Active",55,0.485695709,7.21,148.1,84.6,35.6462455,27.61413091,21.81793671,0.562,7.697,13.705,25336200000,10.40374171,0.0470548,-1.327396227,3587.642045,5.896522507,84.0760413,NA,"BLOOM","Donor2_win"
"WIN_D55_CORE3","D55_CORE3","gr_15_win3","gr15","grave","core","D","DD","Active_adv","F_Active",55,0.597329585,7.18,325.9,93.1,41.92884751,253.7411291,47.33207027,0.763,9.265,12.1475,29696500000,10.47270528,0.0761029,-1.11859891,4328.0271,6.181071309,145.9723576,NA,"BLOOM","Donor3_win"
"WIN_D55_IN1","D55_IN1","gr_int_win1","grint","grave","interface","D","DD","Active_adv","F_Active",55,0.671096346,6.99,792.1,89.6,82.7055612,1900.593577,0.561488372,0.858,19.614,22.8634,1.07141e+11,11.02995505,0.728853,-0.137360252,1723.128834,4.748463105,34.83112273,NA,"BLOOM","Donor1_win"
"WIN_D55_IN2","D55_IN2","gr_int_win2","grint","grave","interface","D","DD","Active_adv","F_Active",55,1.222777223,8.14,1559,84.6,101.4638357,5364.302364,1.117316017,1.901,21.954,11.5465,94913300000,10.97732704,0.0572733,-1.242047941,1684.123288,3.832114385,13.6168648,NA,"BLOOM","Donor2_win"
"WIN_D55_IN3","D55_IN3","gr_int_win3","grint","grave","interface","D","DD","Active_adv","F_Active",55,0.648669202,6.16,429.4,93.1,97.00363741,1168.57673,0.430852218,1.165,24.232,20.7945,51662400000,10.71317417,2.34035,0.3692812,3763.917526,5.637446594,62.03311945,NA,"BLOOM","Donor3_win"
"WIN_E75","E75","con15_mean","con15","control","core","E","con","Advanced1","Control",75,0.534923589,7.353333333,45.77,100.0666667,2.754228671,7.402854993,8.315045641,0.750666667,10.65766667,14.26903333,17385400000,10.24018391,0.0305544,-1.514926919,4089.68,6.113672759,120.2114098,NA,"CLIMAX","Control_win"
"WIN_E75_CONINT","E75_CONINT","conint_mean","conint","control","interface","E","con","Advanced1","Control",75,0.77789881,7.163333333,59.17,100.0666667,7.370254522,12.48968542,10.70791709,0.865333333,12.82133333,14.91663333,16083100000,10.20636864,0.0536155,-1.270709442,4949.821577,6.406486418,165.9995947,NA,"CLIMAX","Control_win"
"WIN_E75_CORE1","E75_CORE1","gr_15_win1","gr15","grave","core","E","E","Advanced1","G_Advanced",75,0.500534759,7.62,198.8,62.4,29.45230969,390.2990945,13.36876435,0.509,7.588,14.9107,40975500000,10.61252457,0.0739855,-1.130853615,3303.136223,5.485371911,56.23056417,NA,"CLIMAX","Donor1_win"
"WIN_E75_CORE2","E75_CORE2","gr_15_win2","gr15","grave","core","E","E","Advanced1","G_Advanced",75,0.540468227,6.96,265.9,72.4,33.20453456,277.5307559,22.53191527,0.591,8.181,13.846,34845900000,10.54215221,0.182691,-0.738282075,4813.364583,6.199554274,119.4879826,NA,"CLIMAX","Donor2_win"
"WIN_E75_CORE3","E75_CORE3","gr_15_win3","gr15","grave","core","E","E","Advanced1","G_Advanced",75,0.67865824,6.7,190.5,79,30.08540262,26.27659699,2.280736996,0.934,11.421,12.2258,24150500000,10.38292688,0.191519,-0.717788361,3834.933842,6.067718045,100.0474125,NA,"CLIMAX","Donor3_win"
