"","Verrucomicrobiae","Alphaproteobacteria","Gammaproteobacteria","Actinobacteria","Subgroup_6","Bacilli","Deltaproteobacteria","MB-A2-108","Clostridia","Bacteroidia","KD4-96","NC10","Thermoleophilia","Entotheonellia","Blastocatellia_(Subgroup_4)","Acidimicrobiia","Chloroflexia","Bacteria_unclassified","Holophagae","Actinobacteria_unclassified","Subgroup_5","Dehalococcoidia","Planctomycetacia","Deinococci","TK10","Nitrospira","Acidobacteriia","Gitt-GS-136","Babeliae","Subgroup_18","Anaerolineae","Latescibacteria_cl","Phycisphaerae","Ktedonobacteria","Subgroup_17","Subgroup_11","S0134_terrestrial_group","Campylobacteria","Subgroup_22","Gemmatimonadetes","BRC1_cl","Planctomycetes_unclassified","Negativicutes","Oxyphotobacteria","Thermoanaerobaculia","OLB14","FBP_cl","Ignavibacteria","Pla4_lineage","Erysipelotrichia","OM190","Chlamydiae","Pla3_lineage","Acidobacteria_unclassified","Subgroup_25","Coriobacteriia","BD2-11_terrestrial_group","Fimbriimonadia","uncultured","Chloroflexi_unclassified","JG30-KF-CM66","Proteobacteria_unclassified","AD3","Gracilibacteria","Fusobacteriia","Microgenomatia","Lineage_IIa","vadinHA49","Melainabacteria","Rubrobacteria","Spirochaetia","Saccharimonadia","Firmicutes_unclassified","Leptospirae","Armatimonadia","Parcubacteria","Hydrogenedentia","Bacteroidetes_unclassified","Kiritimatiellae","Cyanobacteria_unclassified","Longimicrobia","Fibrobacteria","Elusimicrobia","WS2_cl","Lineage_IIb","Latescibacteria","Chthonomonadetes","0319-7L14","Sericytochromatia","P2-11E","V2072-189E03","Patescibacteria_unclassified","WPS-2_cl","Berkelbacteria","Subgroup_20","Subgroup_15","RsaHf231_cl","FCPU426_cl","WS4_cl","AT-s3-28","Mollicutes","BD7-11","ABY1","Subgroup_9","Synergistia","GAL15_cl","Omnitrophicaeota_cl","Rhodothermia","uncultured.1","Omnitrophia","Armatimonadetes_unclassified","Lineage_IIc","Lentisphaeria"
"SP_A0",990.688192186897,921.262879497493,697.559094164968,354.289492534024,1062.86847760207,25.8967436222381,753.209543225522,188.440134442669,1.10198909030801,590.666152405091,147.666538101273,237.478648961375,937.241721306959,55.0994545154003,489.283156096755,281.007218028542,71.6292908700204,175.767259904127,78.7922199570224,35.8146454350102,107.994930850185,87.0571381343325,334.45368890848,0,69.4253126894044,26.4477381673921,87.0571381343325,25.3457490770841,45.7325472477823,12.1218799933881,87.6081326794865,93.1180781310265,136.646647198193,16.5298363546201,66.6703399636344,28.1007218028542,20.9377927158521,0,66.1193454184804,139.952614469117,6.06093999669403,27.5497272577001,0,0,33.6106672543942,15.4278472643121,0,5.50994545154003,43.5285690671662,0,107.443936305031,12.6728745385421,9.91790181277205,7.71392363215604,10.4688963579261,0,7.71392363215604,2.75497272577001,7.71392363215604,13.7748636288501,9.91790181277205,16.5298363546201,2.20397818061601,3.85696181607802,0,1.10198909030801,5.50994545154003,12.6728745385421,7.16292908700204,1.10198909030801,0,3.30596727092402,0,3.30596727092402,1.65298363546201,20.3867981706981,0.550994545154003,0.550994545154003,1.10198909030801,0,1.65298363546201,5.50994545154003,6.06093999669403,2.20397818061601,9.36690726761805,3.30596727092402,5.50994545154003,0,2.75497272577001,2.20397818061601,0,0.550994545154003,0,0.550994545154003,1.10198909030801,0.550994545154003,0,0,0,0.550994545154003,0,3.30596727092402,1.10198909030801,0,0,0.550994545154003,0.550994545154003,0,0,1.65298363546201,0,0.550994545154003,0
"SP_A0_CONINT",739.369865487045,1087.83966778008,1471.06617315158,376.907104811772,1030.96506274262,10.8332581023743,526.315789473684,113.74921007493,0.902771508531191,1853.8412927688,154.373927958834,96.5965514128374,691.522975534892,26.6317595016701,250.06770786314,267.671752279498,37.91640335831,74.9300352080888,55.9718335289338,14.8957298907646,67.7078631398393,27.5345310102013,246.005236074749,0,38.3677891125756,13.5415726279679,71.7703349282297,13.5415726279679,4.96524329692155,6.77078631398393,60.0343053173242,23.0206734675454,124.131082423039,2.70831452559357,32.9511600613885,12.1874153651711,16.701272907827,0,13.0901868737023,86.2146790647287,8.12494357678072,10.8332581023743,0,1.35415726279679,21.215130450483,12.1874153651711,0.451385754265595,3.61108603412476,4.06247178839036,0,57.7773765459962,4.96524329692155,2.25692877132798,4.06247178839036,2.25692877132798,0,6.31940055971833,2.25692877132798,0.902771508531191,6.31940055971833,6.31940055971833,16.2498871535614,0,6.31940055971833,0,1.35415726279679,3.61108603412476,15.7985013992958,5.41662905118714,0.451385754265595,0,4.96524329692155,0,0.451385754265595,1.35415726279679,10.8332581023743,1.80554301706238,2.25692877132798,0.902771508531191,0.451385754265595,4.96524329692155,3.15970027985917,0.902771508531191,0.451385754265595,4.06247178839036,0,3.15970027985917,0.451385754265595,5.41662905118714,0,0,0.902771508531191,0.451385754265595,0,0,0.451385754265595,0,1.35415726279679,0,0,0.902771508531191,1.35415726279679,0.451385754265595,0,0,0,0,0,0.451385754265595,0,0,0,0
"SP_A0_CORE1",989.305709209159,1394.9512219652,496.49669784438,634.952562942103,866.271078480673,41.5702839518589,608.468269134064,262.496228502464,3.01719802876395,252.774145965336,208.857152435549,280.934660900466,1521.33829494787,91.5216735391733,237.688155821516,412.015153038989,132.756713265614,145.831238056924,35.2006436689128,69.7307988869892,63.6964028294613,51.9628549398237,413.69137416608,0,52.9685876160783,21.4556304267659,58.3324952227698,30.1719802876395,9.7220825371283,10.7278152133829,44.2522377552047,38.8883301485132,80.4586141003721,16.4269670454926,48.2751684602233,18.7736766234202,13.0745247913105,0,17.4326997217473,72.4127526903349,1.34097690167287,19.1089208488384,0,24.4728284555299,16.7622112709109,13.4097690167287,0,2.0114653525093,14.7507459184016,0,54.6448087431694,9.7220825371283,4.35817493043682,3.35244225418217,9.38683831171008,0,2.0114653525093,1.34097690167287,8.04586141003721,12.404036340474,5.36390760669147,6.70488450836434,1.34097690167287,1.34097690167287,0,1.67622112709109,2.68195380334574,3.35244225418217,3.01719802876395,5.36390760669147,0,0.670488450836434,0,1.34097690167287,0.670488450836434,3.68768647960039,0.335244225418217,0.335244225418217,0.335244225418217,0,1.00573267625465,3.01719802876395,1.34097690167287,0.335244225418217,0.670488450836434,1.67622112709109,2.0114653525093,0.335244225418217,0.335244225418217,1.00573267625465,0,0,0,0,0.670488450836434,0.335244225418217,0,0.670488450836434,0,0,0.335244225418217,0,0,0,0,0,2.0114653525093,0,0,0,0,0,0
"SP_A0_CORE2",1160.19634091923,1345.51277003439,508.438984696958,562.773971703809,939.444050712655,43.5729847494553,623.933643069008,285.061815891015,5.51224505866604,272.199910754128,174.291938997821,329.947239940153,1076.98768931937,87.1459694989107,323.647531301677,305.010893246187,158.805155261569,144.630810824999,46.1978633488201,27.8237131532667,106.045095414337,51.7101084074862,358.558416673229,0,63.2595742446912,35.173373231488,161.955009580807,12.5994172769509,22.5739559545371,6.29970863847547,46.4603512087566,60.3722077853899,97.3829960364333,62.4721106648818,55.9099141664698,29.1361524529491,7.34966007822138,0,30.186103892695,119.95695199097,2.3623907394283,8.66209937790377,0.262487859936478,1.31243929968239,12.3369294170145,7.61214793815786,0,3.67483003911069,16.0117594561252,0.262487859936478,58.0098170459616,13.3868808567604,7.87463579809434,2.3623907394283,8.92458723784025,0,2.3623907394283,2.88736645930126,4.7247814788566,13.6493687166969,5.51224505866604,11.8119536971415,10.7620022573956,2.3623907394283,0,0,3.14985431923774,4.7247814788566,2.09990287949182,0.262487859936478,0,1.04995143974591,0.262487859936478,0.262487859936478,0.524975719872956,9.18707509777673,0.524975719872956,0,0,0,0.262487859936478,3.67483003911069,3.67483003911069,0.262487859936478,3.93731789904717,1.04995143974591,4.7247814788566,0,0.787463579809434,1.57492715961887,0,0.262487859936478,0.262487859936478,0.524975719872956,0.787463579809434,1.31243929968239,0,1.31243929968239,0,0.787463579809434,0.262487859936478,2.09990287949182,1.04995143974591,0,0,0,1.04995143974591,0,0.787463579809434,1.31243929968239,0,0.524975719872956,0
"SP_A0_CORE3",1177.30729252147,1237.12092200522,472.673559822747,453.343545416416,876.415558838011,53.7957948100735,682.021263015847,266.608311906195,3.10009665007203,260.955194485475,134.945383591371,481.973849772963,1081.56901362219,101.026679067053,474.67950471397,266.608311906195,175.246640042307,186.370516257272,60.1783467366924,51.7898499188504,91.5440304903624,104.491492970075,345.02252129037,0,46.5014497510805,28.6303043565476,93.1852581286358,22.977186935828,20.7888834181301,24.0713386946769,75.8611886135274,66.9256159162609,68.2021263015847,24.9831318270511,58.1724018454693,36.2893666684903,12.582745226763,0.182358626474825,35.559932162591,90.9969546109379,2.1883035176979,16.5946350092091,0,0,20.9712420446049,6.38255192661889,0.182358626474825,4.74132428834546,13.1298211061874,0,45.954373871656,12.582745226763,13.4945383591371,3.10009665007203,23.5242628152525,0,2.1883035176979,0.729434505899301,9.66500720316574,14.4063314915112,7.29434505899302,10.0297244561154,6.20019330014406,1.64122763827343,0,0.364717252949651,3.82953115597133,1.64122763827343,0.182358626474825,0.729434505899301,0,1.82358626474825,0,0.182358626474825,0.547075879424476,4.19424840892098,0.364717252949651,0.729434505899301,1.27651038532378,0,0.364717252949651,1.09415175884895,1.09415175884895,1.09415175884895,3.82953115597133,0.729434505899301,4.74132428834546,0.182358626474825,0.729434505899301,3.28245527654686,0,0,0,0.182358626474825,1.09415175884895,1.09415175884895,0,0.911793132374127,0,0.547075879424476,0,0.364717252949651,0.911793132374127,0,0,0.364717252949651,0.364717252949651,0,0,0.364717252949651,0.182358626474825,0.182358626474825,0
"SP_A0_IN1",803.922532441998,1255.89854502556,1000.78647267007,653.26386158081,954.826976012583,8.84781753834054,516.860007864727,146.234762092017,0.737318128195045,835.381439244986,259.781753834054,77.1726307510814,1326.18953991349,29.0011797090051,221.932756586709,409.948879276445,65.3755406999607,66.1128588281557,38.8320880849391,38.3405426661423,37.1116791191506,25.3145890680299,345.802202123476,0,55.5446323240267,11.7970900511207,68.5705859221392,25.8061344868266,5.16122689736532,3.19504522217853,104.944946913095,8.84781753834054,122.149036570979,5.40699960676366,32.1962249311836,6.14431773495871,16.220998820291,0,9.83090837593394,106.911128588282,4.66968147856862,11.7970900511207,0,0.737318128195045,21.3822257176563,28.2638615808101,1.96618167518679,6.39009044435706,8.1104994101455,0,58.9854502556036,10.568226504129,1.72040896578844,2.70349980338183,1.72040896578844,0,7.37318128195045,3.93236335037357,1.96618167518679,6.63586315375541,8.1104994101455,10.568226504129,0,2.21195438458514,0,1.47463625639009,2.94927251278018,9.58513566653559,2.70349980338183,5.16122689736532,0,7.37318128195045,0,0,2.21195438458514,12.2886354699174,0,2.21195438458514,0.983090837593394,0.245772709398348,18.1871804954778,4.17813605977192,0.737318128195045,1.22886354699174,4.66968147856862,0,1.72040896578844,0.983090837593394,4.17813605977192,0.245772709398348,0,1.22886354699174,0.737318128195045,0.245772709398348,0.245772709398348,0,0,0.737318128195045,0,0.245772709398348,10.0766810853323,0.983090837593394,1.22886354699174,0,0,0,0.491545418796697,0,0,0.245772709398348,0,0,0
"SP_A0_IN2",888.797401765701,1133.98289190796,986.231187960295,623.484744522209,1025.11321531494,0.914871231874114,458.807922784868,122.135309455194,0.914871231874114,1044.78294680024,212.707561410731,92.8594300352225,1051.64448103929,19.2122958693564,284.982388728786,286.812131192535,66.3281643108732,83.7107177164814,83.2532821005444,25.6163944924752,60.3815013036915,28.3610081880975,343.991583184667,0,46.2009972096427,15.5528109418599,99.7209642742784,16.010246557797,10.5210191665523,1.82974246374823,86.9127670280408,29.2758794199716,133.571199853621,10.5210191665523,44.8286903618316,7.77640547092997,14.6379397099858,0,20.5846027171676,154.613238186725,6.4040986231188,11.8933260143635,0,0.914871231874114,32.9353643474681,18.2974246374823,2.74461369562234,10.9784547824894,10.5210191665523,0,78.6789259411738,8.23384108686702,3.65948492749646,3.2020493115594,0.457435615937057,0.457435615937057,14.6379397099858,7.77640547092997,5.03179177530763,5.94666300718174,8.69127670280408,13.2656328621746,0,5.94666300718174,0,0.914871231874114,2.74461369562234,15.5528109418599,3.2020493115594,1.37230684781117,0,8.69127670280408,0,1.37230684781117,1.37230684781117,23.786652028727,0.457435615937057,1.82974246374823,1.82974246374823,0,10.5210191665523,6.86153423905585,2.74461369562234,5.03179177530763,6.86153423905585,0.457435615937057,17.3825534056082,0.914871231874114,5.03179177530763,0,0,2.28717807968528,0,0,0.457435615937057,0.457435615937057,0,0.457435615937057,0,0.457435615937057,0,0.457435615937057,3.2020493115594,0,0,0,0.457435615937057,0.914871231874114,0.914871231874114,1.37230684781117,0,0.914871231874114,0
"SP_A0_IN3",840.096717962175,1109.07012052258,1214.78510243482,386.684410788926,1034.46983186819,26.6161833892523,531.573916140279,172.817754118948,0.562313733575753,1150.11902307361,215.178722048321,119.772825251635,914.88444452775,26.2413075668685,357.069220820603,292.403141459392,49.4836085546663,83.0349946580195,76.8495435886862,31.1146932578583,73.2882232760398,25.6789938332927,267.286461359675,0,48.7338569098986,23.6171768101816,92.7817660399993,19.8684185863433,37.1127064159997,6.3728889805252,77.5992952334539,35.6132031264644,124.458773031433,6.93520271410095,42.9232816629492,14.2452812505857,14.8075949841615,0,21.3679218758786,130.456786189575,3.1864444902626,10.8713988491312,0.187437911191918,0.749751644767671,16.3070982736968,11.433712582707,0.937189555959588,9.93420929317164,13.68296751701,0.374875822383835,67.2902101178984,8.24726809244438,2.81156866787877,5.2482615133737,0.562313733575753,0,7.87239227006054,5.99801315814137,5.43569942456561,9.18445764840397,5.81057524694945,11.9960263162827,0.187437911191918,6.18545106933328,0,1.49950328953534,3.74875822383835,11.8085884050908,4.12363404622219,0.562313733575753,0,4.87338569098986,0,2.62413075668685,2.43669284549493,18.5563532079999,0.562313733575753,1.31206537834342,1.68694120072726,0.374875822383835,8.80958182602013,2.24925493430301,2.06181702311109,1.68694120072726,6.74776480290904,0,3.74875822383835,0.562313733575753,8.80958182602013,0,0,1.49950328953534,1.31206537834342,0,0,0.374875822383835,0,3.1864444902626,0,0.374875822383835,0.562313733575753,0.374875822383835,1.87437911191918,0,0,0,0,0,0,1.12462746715151,0,0,0
"SP_B8",1111.27479866431,1312.61048909841,605.480259281084,485.660970339815,977.214692594775,67.7666470241603,624.140640345708,265.664898841092,1.96425063838146,278.432527990572,185.130622667452,382.537811824789,1248.28128069142,67.7666470241603,326.556668630917,320.172854056178,118.346100962483,147.318797878609,46.6509526615596,55.9811431938715,77.5879002160676,70.7130229817325,404.63563150658,0,52.543704576704,29.9548222353172,75.6236495776861,27.008446277745,16.6961304262424,12.7676291494795,56.4722058534669,47.6330779807503,77.0968375564722,22.5888823413868,56.9632685130623,22.0978196817914,7.36593989393047,0,17.6782557454331,82.0074641524259,1.96425063838146,17.6782557454331,0,0.982125319190729,12.7676291494795,5.89275191514437,0,6.8748772343351,10.803378511098,0,40.2671380868199,9.82125319190729,9.33019053231192,2.94637595757219,15.2229424474563,0,4.91062659595364,1.96425063838146,6.8748772343351,12.2765664898841,8.83912787271656,6.38381457473974,4.91062659595364,0.982125319190729,0,0,3.92850127676292,3.43743861716755,1.96425063838146,1.96425063838146,0,0.982125319190729,0,0,0,4.41956393635828,0,0.982125319190729,0.491062659595364,0,0,1.96425063838146,0.982125319190729,0,1.96425063838146,0.491062659595364,0.491062659595364,0.491062659595364,0.491062659595364,0.982125319190729,0,0.491062659595364,0,0,1.47318797878609,0,0,0.491062659595364,0,0.491062659595364,0.982125319190729,0,0,0.491062659595364,0,0,0.491062659595364,0,0.491062659595364,0,0,0,0
"SP_B8_CONINT",951.660412379454,1209.49844651576,947.423637170641,544.929992333454,906.468143485454,15.9383448331518,585.885486018642,157.567687527741,0.201751200419642,936.327321147561,222.329822862446,99.866844207723,1120.52616713069,33.4906992696607,252.794254125812,357.906629544446,59.5166041237945,86.5512649800266,65.1656377355445,32.0784408667232,56.2885849170803,27.4381632570714,360.731146350321,0.201751200419642,51.2448049065892,25.6224024532946,75.6567001573659,19.3681152402857,15.1313400314732,3.02626800629464,84.3320017754106,18.5611104386071,114.796433038777,5.24553121091071,37.3239720776339,9.68405762014284,15.9383448331518,0,18.1576080377678,117.015696243393,4.84202881007142,12.3068232255982,0,2.21926320461607,32.2801920671428,19.771617641125,2.01751200419642,9.28055521930355,11.9033208247589,0,70.6129201468749,12.5085744260178,1.81576080377678,1.00875600209821,2.01751200419642,0,9.07880401888391,5.85078481216963,5.04378001049106,8.27179921720534,8.67530161804463,15.7365936327321,0.201751200419642,4.64027760965178,0,1.4122584029375,6.05253601258927,11.0963160230803,5.24553121091071,3.02626800629464,0,8.27179921720534,0.201751200419642,0.80700480167857,1.61400960335714,19.771617641125,1.81576080377678,1.4122584029375,2.62276560545535,0,10.6928136222411,6.45603841342856,2.21926320461607,2.01751200419642,7.46479441552677,0.605253601258927,4.43852640923213,1.21050720251785,5.04378001049106,0.201751200419642,0,1.61400960335714,0.605253601258927,0.403502400839285,0.403502400839285,0.201751200419642,0,1.61400960335714,0,0.201751200419642,1.81576080377678,1.4122584029375,1.61400960335714,0,0,0,1.4122584029375,0.201751200419642,0.403502400839285,1.81576080377678,0,0.201751200419642,0
