"","Alphaproteobacteria","Verrucomicrobiae","Actinobacteria","Deltaproteobacteria","Subgroup_6","MB-A2-108","Gammaproteobacteria","Thermoleophilia","KD4-96","Entotheonellia","NC10","Acidimicrobiia","Bacteria_unclassified","Bacteroidia","Blastocatellia_(Subgroup_4)","Bacilli","Clostridia","Actinobacteria_unclassified","Dehalococcoidia","Subgroup_5","Chloroflexia","Nitrospira","TK10","Planctomycetacia","Holophagae","Negativicutes","Gitt-GS-136","Subgroup_18","Acidobacteriia","Babeliae","Campylobacteria","Phycisphaerae","Planctomycetes_unclassified","Subgroup_11","Gemmatimonadetes","S0134_terrestrial_group","Subgroup_17","Rubrobacteria","Anaerolineae","Oxyphotobacteria","Chlamydiae","Latescibacteria_cl","Deinococci","FBP_cl","BRC1_cl","Subgroup_25","Erysipelotrichia","Pla3_lineage","Thermoanaerobaculia","Subgroup_22","OM190","uncultured","Ignavibacteria","OLB14","Proteobacteria_unclassified","JG30-KF-CM66","Chloroflexi_unclassified","BD2-11_terrestrial_group","Ktedonobacteria","Fibrobacteria","Pla4_lineage","Coriobacteriia","Acidobacteria_unclassified","Saccharimonadia","vadinHA49","Melainabacteria","Lineage_IIa","WPS-2_cl","Fimbriimonadia","0319-7L14","AD3","Firmicutes_unclassified","Cyanobacteria_unclassified","RsaHf231_cl","Armatimonadia","Bacteroidetes_unclassified","Fusobacteriia","Sericytochromatia","Lineage_IIb","Gracilibacteria","Mollicutes","Subgroup_9","Chthonomonadetes","Subgroup_15","AT-s3-28","Hydrogenedentia","Synergistia","Longimicrobia","Latescibacteria","Microgenomatia","WS2_cl","Spirochaetia","BD7-11","P2-11E","GAL15_cl","Subgroup_20","Elusimicrobia","Lentisphaeria","uncultured.1","Armatimonadetes_unclassified","BRH-c20a","Parcubacteria","Kiritimatiellae","FCPU426_cl","Omnitrophia","Lineage_IIc","Omnitrophicaeota_cl","Leptospirae","Berkelbacteria","ABY1"
"WIN_A0",1397.25845970466,1053.57261108536,603.933514336799,552.281305873783,1095.29170253626,250.976756506192,345.010264220913,1428.38222634263,200.648963644792,110.588702734918,368.849745049997,323.81961459506,149.658962982584,133.765975763194,242.368055095689,205.284418250447,13.9063638169658,80.789351698563,74.1672736904841,101.317793523608,74.1672736904841,34.4348056420105,74.1672736904841,456.923382557447,45.0301304549368,0,35.0970134428184,18.541818422621,71.5184424872525,18.541818422621,0,70.1940268856367,10.5953248129263,20.5284418250447,54.3010396662473,11.2575326137342,47.6789616581683,3.31103900403947,29.1371432355473,0.662207800807894,4.63545460565525,29.1371432355473,0,0,1.32441560161579,8.60870141050261,0.662207800807894,1.98662340242368,9.27090921131051,11.9197404145421,25.8261042315078,10.5953248129263,2.64883120323157,3.97324680484736,7.94649360969472,7.94649360969472,12.58194821535,3.31103900403947,17.2174028210052,2.64883120323157,5.29766240646315,0,1.98662340242368,0.662207800807894,2.64883120323157,0,1.32441560161579,0,0,1.98662340242368,1.98662340242368,0,0,0,0.662207800807894,0,0,0.662207800807894,1.32441560161579,1.32441560161579,0,0.662207800807894,3.97324680484736,0,0,0,0,2.64883120323157,0,0,0.662207800807894,0,0,0,0,0.662207800807894,0,0,0,0,0,1.32441560161579,0,0,0,0,0,0,0,0
"WIN_A0_CONINT",1436.60493364325,735.547724375797,851.765764414786,387.643398065532,1163.6799880033,152.957936567444,637.324735697683,1562.57029316938,259.428657119292,72.7299992502062,125.215565719427,368.898552897953,86.9760815775662,412.386593686736,175.451750768539,140.21144185349,13.4962885206568,71.980205443503,44.2378345954862,56.9843293094399,84.7267001574567,26.9925770413136,94.4740196445977,443.877933568269,23.2436080077979,0,59.9835045362525,5.99835045362525,54.7349478893304,1.49958761340631,0,89.2254629976756,10.4971132938442,9.74731948714104,50.2361850491115,6.74814426032841,48.7365974357052,18.7448451675789,42.7382469820799,1.49958761340631,5.99835045362525,2.24938142010947,0.749793806703157,0.749793806703157,1.49958761340631,2.99917522681263,0.749793806703157,0,29.2419584614231,1.49958761340631,29.9917522681263,8.99752568043788,3.74896903351578,5.2485566469221,9.74731948714104,8.24773187373472,9.74731948714104,3.74896903351578,5.2485566469221,4.49876284021894,2.24938142010947,0,0,3.74896903351578,2.99917522681263,2.24938142010947,1.49958761340631,0.749793806703157,0.749793806703157,0.749793806703157,0,0.749793806703157,0,0,1.49958761340631,0,0,3.74896903351578,1.49958761340631,2.99917522681263,0,0,0,0,0,0,0,2.24938142010947,0,0.749793806703157,2.24938142010947,0,0,0,0,0,0,0,0,0,0,3.74896903351578,0,0,0,0,0,0,0,0
"WIN_A0_CORE1",1554.96361128288,1212.00589830186,558.435998668125,488.512581458403,1133.0447605004,262.569566665081,383.865290396233,1332.35028302336,210.245921133996,111.782333634591,288.255719925796,299.671788041669,112.258003139419,125.101079769776,281.120677353375,122.722732245636,11.4160681158731,50.8966370166009,48.0426199876326,113.209342149075,97.9879179945774,29.4915092993388,77.0584597821434,510.393378680493,29.0158397945108,0.475669504828045,31.394187318651,10.464729106217,62.788374637302,11.4160681158731,0,67.0694001807544,13.7944156400133,12.8430766303572,58.9830185986776,10.940398611045,39.4805689007278,2.37834752414023,39.0048993958997,6.18370356276459,7.61071207724873,31.394187318651,0,0,0,6.18370356276459,0,4.75669504828045,8.08638158207677,6.65937306759264,24.2591447462303,7.13504257242068,3.32968653379632,6.65937306759264,18.5511106882938,7.13504257242068,4.28102554345241,4.75669504828045,18.0754411834657,3.32968653379632,4.28102554345241,0,1.42700851448414,0.475669504828045,0.951339009656091,0.951339009656091,1.42700851448414,0.951339009656091,0.475669504828045,0.951339009656091,0.475669504828045,0,0,0,0.951339009656091,0,0,0.951339009656091,0.951339009656091,0.475669504828045,0,0,1.90267801931218,0.475669504828045,0.475669504828045,0,0,0,0.475669504828045,0,0.475669504828045,0,0.475669504828045,0,0,0.475669504828045,2.85401702896827,0,0,0,0,1.90267801931218,0,0.951339009656091,0,0,0,0,0,0
"WIN_A0_CORE2",1478.42301545019,1326.05221097496,558.870538092701,466.702184336707,1197.12306872669,233.351092168354,395.844432605221,1329.24880127864,192.328183271177,98.0287693127331,286.094832179009,305.807139051678,117.741076185402,145.977623867874,291.422482685136,95.3649440596697,14.3846563665424,51.1454448588173,69.2594565796484,93.233883857219,93.7666489078316,19.1795418220565,66.595631326585,506.659563132658,27.1710175812467,0.53276505061268,23.9744272775706,10.1225359616409,68.7266915290357,7.9914757591902,0,77.7836973894512,16.5157165689931,15.4501864677677,52.7437400106553,6.39318060735216,34.0969632392115,10.1225359616409,42.0884389984017,0,6.39318060735216,18.1140117208311,0,0,1.06553010122536,14.917421417155,0.53276505061268,1.59829515183804,9.58977091102824,14.3846563665424,19.1795418220565,12.7863612147043,4.26212040490144,3.72935535428876,5.3276505061268,3.72935535428876,8.52424080980288,1.59829515183804,15.4501864677677,2.6638252530634,3.72935535428876,0,2.6638252530634,1.59829515183804,2.6638252530634,3.72935535428876,1.06553010122536,0,0,2.6638252530634,2.13106020245072,0,0,0,1.06553010122536,0,0,0,2.13106020245072,0,0,0,1.06553010122536,0.53276505061268,0,0.53276505061268,0,0.53276505061268,0,0,0.53276505061268,0,1.06553010122536,0,0.53276505061268,0.53276505061268,0,0,0,0,0,1.06553010122536,0,0,0,0,0,0,0,0
"WIN_A0_CORE3",1255.29224171111,736.240171551108,554.791884312971,561.939847143564,1264.08973442569,280.420080277121,480.563039533733,1461.483477209,197.943586077968,111.618188816187,324.957387144664,395.887172155936,174.300324407544,149.557376147798,197.393742783307,139.110353549238,7.6978061252543,137.460823665255,92.9235167977126,66.5310386539836,84.1260240831363,32.4407543850003,84.6758673777973,540.495958651784,32.4407543850003,1.09968658932204,42.3379336888987,19.7943586077968,44.5373068675428,13.7460823665255,0,65.9811953593226,19.2445153131358,21.9937317864409,48.9360532248309,11.5467091878815,71.4796283059328,17.5949854291527,55.5341727607632,0.549843294661022,10.4470225985594,28.5918513223731,0,0,0,13.7460823665255,0,6.04827624127124,13.1962390718645,9.34733600923737,27.4921647330511,9.89717930389839,1.09968658932204,7.6978061252543,6.59811953593226,9.34733600923737,9.34733600923737,4.39874635728817,8.24764941991532,4.39874635728817,4.39874635728817,0,2.19937317864409,1.64952988398306,0.549843294661022,0.549843294661022,2.19937317864409,0,1.64952988398306,0,0,0.549843294661022,0,0,0,0,0,1.09968658932204,0.549843294661022,1.09968658932204,0.549843294661022,0,2.19937317864409,0,0,0,0,1.09968658932204,0,0,0,0,1.09968658932204,0,0.549843294661022,0,1.64952988398306,0,0.549843294661022,0,0,4.94858965194919,0,0.549843294661022,0,0,0.549843294661022,0,0.549843294661022,0
"WIN_A0_IN1",1441.38321079422,788.963399854569,988.931081845358,427.001696695484,1276.15738870486,144.219116102448,611.21434919609,1451.0786135574,278.742829441706,55.3445907732084,87.2586248687081,357.921952007756,71.9075704936576,321.160216530662,262.179849721257,69.4837198028602,10.0993778783227,54.9406156580755,21.814656217177,53.3247151975438,98.5699280924295,30.2981336349681,84.0268239476448,469.419083784439,33.1259594408984,1.21192534539872,29.4901834047023,5.2516764967278,54.1326654278096,4.44372626646199,0,95.7421022864991,8.48347741779106,10.9073281085885,66.2519188817969,8.07950230265816,37.1657105922275,14.5431041447847,41.2054617435566,0.403975115132908,7.27155207239234,4.84770138159489,0,0.403975115132908,5.65565161186071,3.23180092106326,0,0.807950230265816,15.3510543750505,0.403975115132908,17.370929950715,6.86757695725943,3.23180092106326,4.84770138159489,5.2516764967278,5.2516764967278,7.67552718752525,1.21192534539872,6.86757695725943,1.21192534539872,2.01987557566454,0.403975115132908,0.403975115132908,2.01987557566454,4.44372626646199,1.61590046053163,0.807950230265816,0.807950230265816,2.01987557566454,0.403975115132908,0,0.403975115132908,0,0,2.82782580593035,0,0,4.03975115132908,0,1.61590046053163,0,0,1.21192534539872,0,0,0.403975115132908,0,6.46360184212653,0,0.403975115132908,0.807950230265816,0,0,0,0,0,0,0,0.403975115132908,0,0,2.82782580593035,0,0,0,0,0,0,0,0
"WIN_A0_IN2",1385.18790774603,742.442341266195,1021.77708352476,411.191766976018,1128.36534043922,149.774878250482,700.174584213912,1482.58752182303,276.11871726546,50.9969677478636,76.7251676927318,398.787099145456,73.5091426996233,542.129927409722,167.233299641643,63.8610677202977,5.51318570247175,65.6987962877883,24.3499035192502,33.5385463567031,105.209960488836,26.1876320867408,72.590278415878,455.756684737664,29.4036570798493,0,40.8894606266654,0.459432141872645,56.969585592208,3.67545713498116,0,83.1572176789488,9.18864283745291,3.21602499310852,43.6460534779013,8.26977855370762,38.5922999173022,25.2687678029955,56.0507213084627,1.37829642561794,7.35091426996233,2.75659285123587,0,0,3.67545713498116,1.37829642561794,0,0,16.0801249655426,1.83772856749058,18.8367178167785,5.51318570247175,4.13488927685381,5.0537535605991,5.51318570247175,5.97261784434439,7.35091426996233,2.29716070936323,5.0537535605991,3.21602499310852,0.459432141872645,0,1.37829642561794,1.83772856749058,4.59432141872645,3.21602499310852,2.75659285123587,0.918864283745291,0.459432141872645,0.459432141872645,0.459432141872645,0.459432141872645,0.459432141872645,0,1.37829642561794,0.918864283745291,0,2.75659285123587,0.918864283745291,4.13488927685381,0,0,0.459432141872645,0,0,0.459432141872645,0,6.43204998621704,0,0,0.918864283745291,0,0.918864283745291,0,0,0,0.918864283745291,0,0.459432141872645,0,0,4.13488927685381,0.459432141872645,0.459432141872645,0,0,0,0,0.459432141872645,0.459432141872645
"WIN_A0_IN3",1435.29920069129,597.105206308058,804.49341110391,480.449341110391,1206.30805789587,187.945560596241,671.851371786563,1508.74918988982,222.942320155541,69.1294015986174,168.070857636639,441.564052711169,103.262043637935,286.02289911428,174.119680276518,69.1294015986174,7.3449989198531,84.6835169583063,52.7111687189458,54.8714625189026,86.8438107582631,35.8608770792828,73.449989198531,555.627565348887,32.8364657593433,0.432058759991359,44.9341110391013,9.07323395981854,55.7355800388853,9.07323395981854,0,75.6102829984878,20.3067617195939,12.097645279758,43.2058759991359,13.3938215597321,66.1049902786779,23.3311730395334,59.1920501188162,1.72823503996544,5.61676387988766,5.18470511989631,0,0.864117519982718,2.59235255994815,5.18470511989631,0,0.864117519982718,19.4426441996111,4.75264635990495,25.9235255994815,5.61676387988766,3.88852883992223,9.93735147980125,6.04882263987902,8.64117519982718,10.801468999784,3.02441131993951,6.48088139987038,3.02441131993951,2.16029379995679,0,1.29617627997408,0.864117519982718,3.02441131993951,2.59235255994815,1.29617627997408,0,1.72823503996544,0.864117519982718,0,0.864117519982718,0.432058759991359,0,1.72823503996544,0,0,0.864117519982718,0,2.59235255994815,0,0,0.432058759991359,0,0,0,0,1.72823503996544,0,0,0,0,0,0,0.432058759991359,0,1.29617627997408,0,0,0,0,1.72823503996544,0,0.432058759991359,0,0,0,0.432058759991359,0,0.432058759991359
"WIN_B21",1436.46408839779,789.730256743581,693.625516504945,469.381122614792,1189.93453735085,227.494312642184,436.88193509448,1590.60309206556,256.743581410465,104.461674172431,288.314220715911,379.776219880217,110.497237569061,133.246668833279,231.672779609081,162.49593760156,13.4639491155578,71.0339384372534,58.4985375365616,79.8551464784809,83.5693393379451,38.0704768095083,82.6407911230791,486.559264589814,29.7135428757138,0.464274107433028,58.0342634291286,11.1425785783927,64.0698268257579,7.89265982636148,0,59.8913598588607,15.785319652723,12.5354009006918,61.2841821811598,4.64274107433028,68.2482937926552,9.7497562560936,25.9993500162496,0.928548214866057,8.35693393379451,17.1781419750221,0,0,3.2499187520312,4.17846696689726,0,2.32137053716514,13.4639491155578,4.17846696689726,24.1422535865175,8.82120804122754,0.928548214866057,4.64274107433028,6.4998375040624,6.96411161149543,8.82120804122754,4.17846696689726,9.7497562560936,1.39282232229909,1.85709642973211,0,0.928548214866057,0,3.2499187520312,1.39282232229909,2.32137053716514,0,0,0.928548214866057,1.85709642973211,0,0,0,0,0,0,0.928548214866057,0,0.464274107433028,0,0,0.928548214866057,0.928548214866057,1.39282232229909,0,0,0.928548214866057,0.464274107433028,0,0.464274107433028,0,0,1.85709642973211,0,0.928548214866057,0.464274107433028,0,0,0,0,0.928548214866057,0,0,0,0.464274107433028,0.464274107433028,0,0,0
"WIN_B21_CONINT",1449.13874367984,638.443739823464,1005.22752592339,408.775387779587,1168.90907532779,155.111834775902,689.862027594481,1575.97052018168,223.669551803925,53.1322306967178,138.829376981747,425.914817036593,74.556517267975,305.938812237552,195.389493529865,78.8413745822264,16.2824577941555,73.6995458051247,29.1370297369098,51.4182877710172,86.554117747879,30.8509726626103,77.9844031193761,479.047047733311,21.4242865712572,1.71394292570057,72.8425743422744,7.71274316565258,47.1334304567658,7.71274316565258,0,89.1250321364299,23.1382294969578,5.14182877710172,32.5649155883109,8.56971462850287,43.7055446053646,17.1394292570057,35.9928014397121,2.57091438855086,9.42668609135316,4.28485731425144,0,0,3.42788585140115,1.71394292570057,0,0,18.8533721827063,0.856971462850287,31.7079441254606,5.14182877710172,4.28485731425144,6.8557717028023,5.99880023995201,7.71274316565258,6.8557717028023,1.71394292570057,5.14182877710172,4.28485731425144,0,0,0,0.856971462850287,7.71274316565258,1.71394292570057,2.57091438855086,0,1.71394292570057,0.856971462850287,0,0.856971462850287,0,0,1.71394292570057,0,0,1.71394292570057,1.71394292570057,0,0,0,0,0,0,0.856971462850287,0,2.57091438855086,0,0,1.71394292570057,0,0,0,0,0,1.71394292570057,0,0,0,0,3.42788585140115,0,0,0,0.856971462850287,0,0,0,0
