"","Proteobacteria","Verrucomicrobia","Actinobacteria","Acidobacteria","Chloroflexi","Entotheonellaeota","Rokubacteria","Bacteria_unclassified","Bacteroidetes","Firmicutes","Nitrospirae","Planctomycetes","Dependentiae","Epsilonbacteraeota","Gemmatimonadetes","Cyanobacteria","Chlamydiae","Latescibacteria","Deinococcus-Thermus","FBP","BRC1","Armatimonadetes","Fibrobacteres","Patescibacteria","Elusimicrobia","WPS-2","RsaHf231","Fusobacteria","Tenericutes","Hydrogenedentes","Synergistetes","WS2","Spirochaetes","GAL15","Lentisphaerae","Kiritimatiellaeota","FCPU426","Omnitrophicaeota"
"WIN_A0",2302.49652340905,1053.57261108536,2693.1991258857,1675.38573604397,531.090656247931,110.588702734918,368.849745049997,149.658962982584,136.414806966426,219.852989868221,34.4348056420105,573.471955499636,18.541818422621,0,71.5184424872525,1.32441560161579,4.63545460565525,29.1371432355473,0,0,1.32441560161579,15.2307794185816,2.64883120323157,3.31103900403947,2.64883120323157,0,0,0,0,0,0,0.662207800807894,0,0,0,0,0,0
"WIN_A0_CONINT",2471.3203868936,735.547724375797,3027.66739146735,1572.31761265652,614.081127689885,72.7299992502062,125.215565719427,86.9760815775662,416.135562720252,155.207317987553,26.9925770413136,578.840818774837,1.49958761340631,0,62.9826797630652,7.49793806703157,5.99835045362525,2.24938142010947,0.749793806703157,0.749793806703157,1.49958761340631,11.2469071005473,4.49876284021894,11.9967009072505,2.99917522681263,0.749793806703157,0,0,0,0,0,2.24938142010947,0,0,0,0,0,0
"WIN_A0_CORE1",2445.89259382581,1212.00589830186,2507.25395994863,1705.75084431337,540.36055748466,111.782333634591,288.255719925796,112.258003139419,128.430766303572,134.614469866337,29.4915092993388,625.981068353708,11.4160681158731,0,74.6801122580031,8.08638158207677,7.61071207724873,31.869856823479,0,0,0,10.464729106217,3.32968653379632,2.85401702896827,5.2323645531085,0.951339009656091,0,0,0,0,0,0.475669504828045,0,0,0,0,0.951339009656091,0
"WIN_A0_CORE2",2346.29728289824,1326.05221097496,2491.20937666489,1779.96803409696,521.576984549814,98.0287693127331,286.094832179009,117.741076185402,150.239744272776,110.815130527437,19.1795418220565,629.195524773575,7.9914757591902,0,61.2679808204582,3.72935535428876,6.39318060735216,18.1140117208311,0,0,1.06553010122536,14.917421417155,2.6638252530634,2.6638252530634,3.19659030367608,0,0,0,0,0.53276505061268,0,0.53276505061268,0,0.53276505061268,0,0,0,0
"WIN_A0_CORE3",2304.39324792434,736.240171551108,2847.63842304943,1756.74932644196,592.18122834992,111.618188816187,324.957387144664,174.300324407544,150.65706273712,148.457689558476,32.4407543850003,665.310386539836,13.7460823665255,0,66.5310386539836,2.19937317864409,10.4470225985594,28.5918513223731,0,0,0,13.7460823665255,4.39874635728817,8.79749271457634,4.39874635728817,0,0,0,0.549843294661022,0,0,0,0,0.549843294661022,0,0,0.549843294661022,0.549843294661022
"WIN_A0_IN1",2484.85093318252,788.963399854569,3012.44243354609,1751.63609921629,578.492364870324,55.3445907732084,87.2586248687081,71.9075704936576,324.392017451725,81.1989981417145,30.2981336349681,598.287145511836,4.44372626646199,0,82.0069483719803,6.05962672699362,7.27155207239234,4.84770138159489,0,0.403975115132908,5.65565161186071,12.9272036842531,1.21192534539872,7.27155207239234,0.807950230265816,0.807950230265816,0,0,0,0.403975115132908,0,0.807950230265816,0,0,0,0,0,0
"WIN_A0_IN2",2502.06744463843,742.442341266195,3144.35357897639,1478.45263254617,599.09951300193,50.9969677478636,76.7251676927318,73.5091426996233,547.183680970321,69.8336855646421,26.1876320867408,572.911880915189,3.67545713498116,0,60.6450427271892,7.81034641183497,7.35091426996233,2.75659285123587,0,0,3.67545713498116,7.81034641183497,3.21602499310852,11.4858035468161,4.59432141872645,0.918864283745291,0,0,0,0.459432141872645,0,0.918864283745291,0,0,0,0.459432141872645,0.459432141872645,0
"WIN_A0_IN3",2593.64873622813,597.105206308058,3051.63102181897,1641.82328796716,575.934327068481,69.1294015986174,168.070857636639,103.262043637935,289.911427954202,77.7705767984446,35.8608770792828,683.51695830633,9.07323395981854,0,61.352343918773,5.61676387988766,5.61676387988766,5.18470511989631,0,0.864117519982718,2.59235255994815,9.50529271980989,3.02441131993951,5.61676387988766,2.59235255994815,0,0,0,0,0,0,0,0.432058759991359,0.432058759991359,0,0,0.432058759991359,0
"WIN_B21",2349.22698361112,789.730256743581,2973.67565810855,1713.17145642788,599.37787269604,104.461674172431,288.314220715911,110.497237569061,134.175217048145,176.424160824551,38.0704768095083,593.806583406843,7.89265982636148,0,71.0339384372534,3.2499187520312,8.35693393379451,17.6424160824551,0,0,3.2499187520312,9.7497562560936,1.39282232229909,1.85709642973211,3.71419285946423,0,0,0,0,0,0,0.464274107433028,0,0,0,0,0,0.464274107433028
"WIN_B21_CONINT",2553.77495929386,638.443739823464,3253.92064444254,1562.25897677607,552.746593538435,53.1322306967178,138.829376981747,74.556517267975,310.223669551804,97.6947467649327,30.8509726626103,630.730996657811,7.71274316565258,0,45.4194875310652,5.99880023995201,9.42668609135316,4.28485731425144,0,0,3.42788585140115,8.56971462850287,4.28485731425144,4.28485731425144,6.8557717028023,0,0,0,0,0.856971462850287,0,1.71394292570057,0,0,0,0,0,0
