"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu00001","Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA
"Otu00002","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"Otu00004","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"Otu00005","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA
"Otu00006","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"Otu00012","Bacteria","Firmicutes","Bacilli",NA,NA,NA
"Otu00016","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"Otu00017","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"Otu00021","Bacteria","Firmicutes","Clostridia",NA,NA,NA
"Otu00028","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"Otu00029","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"Otu00033","Bacteria","Rokubacteria","NC10",NA,NA,NA
"Otu00038","Bacteria","Actinobacteria","Thermoleophilia",NA,NA,NA
"Otu00053","Bacteria","Entotheonellaeota","Entotheonellia",NA,NA,NA
"Otu00067","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)",NA,NA,NA
"Otu00073","Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA
"Otu00086","Bacteria","Chloroflexi","Chloroflexia",NA,NA,NA
"Otu00088","Bacteria","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA
"Otu00152","Bacteria","Acidobacteria","Holophagae",NA,NA,NA
"Otu00153","Bacteria","Actinobacteria","Actinobacteria_unclassified",NA,NA,NA
"Otu00155","Bacteria","Acidobacteria","Subgroup_5",NA,NA,NA
"Otu00169","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA
"Otu00176","Bacteria","Planctomycetes","Planctomycetacia",NA,NA,NA
"Otu00231","Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA
"Otu00248","Bacteria","Chloroflexi","TK10",NA,NA,NA
"Otu00255","Bacteria","Nitrospirae","Nitrospira",NA,NA,NA
"Otu00290","Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA
"Otu00298","Bacteria","Chloroflexi","Gitt-GS-136",NA,NA,NA
"Otu00329","Bacteria","Dependentiae","Babeliae",NA,NA,NA
"Otu00349","Bacteria","Acidobacteria","Subgroup_18",NA,NA,NA
"Otu00398","Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA
"Otu00402","Bacteria","Latescibacteria","Latescibacteria_cl",NA,NA,NA
"Otu00412","Bacteria","Planctomycetes","Phycisphaerae",NA,NA,NA
"Otu00415","Bacteria","Chloroflexi","Ktedonobacteria",NA,NA,NA
"Otu00452","Bacteria","Acidobacteria","Subgroup_17",NA,NA,NA
"Otu00463","Bacteria","Acidobacteria","Subgroup_11",NA,NA,NA
