"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu00001","Bacteria","Verrucomicrobia",NA,NA,NA,NA
"Otu00002","Bacteria","Proteobacteria",NA,NA,NA,NA
"Otu00005","Bacteria","Actinobacteria",NA,NA,NA,NA
"Otu00006","Bacteria","Acidobacteria",NA,NA,NA,NA
"Otu00012","Bacteria","Firmicutes",NA,NA,NA,NA
"Otu00028","Bacteria","Bacteroidetes",NA,NA,NA,NA
"Otu00029","Bacteria","Chloroflexi",NA,NA,NA,NA
"Otu00033","Bacteria","Rokubacteria",NA,NA,NA,NA
"Otu00053","Bacteria","Entotheonellaeota",NA,NA,NA,NA
"Otu00088","Bacteria","Bacteria_unclassified",NA,NA,NA,NA
"Otu00176","Bacteria","Planctomycetes",NA,NA,NA,NA
"Otu00231","Bacteria","Deinococcus-Thermus",NA,NA,NA,NA
"Otu00255","Bacteria","Nitrospirae",NA,NA,NA,NA
"Otu00329","Bacteria","Dependentiae",NA,NA,NA,NA
"Otu00402","Bacteria","Latescibacteria",NA,NA,NA,NA
"Otu00487","Bacteria","Gemmatimonadetes",NA,NA,NA,NA
"Otu00531","Bacteria","Epsilonbacteraeota",NA,NA,NA,NA
"Otu00600","Bacteria","BRC1",NA,NA,NA,NA
"Otu00748","Bacteria","Cyanobacteria",NA,NA,NA,NA
"Otu00853","Bacteria","FBP",NA,NA,NA,NA
"Otu01029","Bacteria","Chlamydiae",NA,NA,NA,NA
"Otu01349","Bacteria","Armatimonadetes",NA,NA,NA,NA
"Otu01722","Bacteria","Patescibacteria",NA,NA,NA,NA
"Otu01764","Bacteria","Fusobacteria",NA,NA,NA,NA
"Otu01864","Bacteria","Elusimicrobia",NA,NA,NA,NA
"Otu01946","Bacteria","Spirochaetes",NA,NA,NA,NA
"Otu02285","Bacteria","Hydrogenedentes",NA,NA,NA,NA
"Otu02352","Bacteria","Kiritimatiellaeota",NA,NA,NA,NA
"Otu02461","Bacteria","Fibrobacteres",NA,NA,NA,NA
"Otu02561","Bacteria","WS2",NA,NA,NA,NA
"Otu03607","Bacteria","WPS-2",NA,NA,NA,NA
"Otu03865","Bacteria","RsaHf231",NA,NA,NA,NA
"Otu03962","Bacteria","FCPU426",NA,NA,NA,NA
"Otu03995","Bacteria","WS4",NA,NA,NA,NA
"Otu04416","Bacteria","Tenericutes",NA,NA,NA,NA
"Otu05937","Bacteria","Synergistetes",NA,NA,NA,NA
"Otu05973","Bacteria","GAL15",NA,NA,NA,NA
"Otu06316","Bacteria","Omnitrophicaeota",NA,NA,NA,NA
"Otu10695","Bacteria","Lentisphaerae",NA,NA,NA,NA
