"","Sample","Sample_name","Type","Location","Depth","Study_day","Sort1","Sort2","Stage","Stage1","Stage.1","Moisture","pH","EC","DO","CO2","NH4","NO3","TN","TC","CN_ratio","copies.gdw","log.copies.gdw","fungal.bacterial.ratio","log.f.b.ratio","Chao1","Shannon","InvSimpson","Phase","Donor"
"A0","con15_mean","A0","con15","control","core","0","A","con","Initial","Control","Initial",0.434770967,7.37,31.30666667,97.76666667,2.899589227,9.028600977,7.264355671,0.373333333,4.997333333,13.44186667,4455430000,9.648889492,0.0187608,-1.726748198,4519.47216,6.624857648,208.5162382,"Initial","Control"
"A0_CONINT","conint_mean","A0_CONINT","conint","control","interface","0","A","con","Initial","Control","Initial",0.655996133,7.32,43.84,97.76666667,8.674386275,19.43921238,8.246894757,0.803333333,12.421,15.46976667,1846670000,9.266390144,0.0528611,-1.276863613,4444.733485,6.462025188,149.0341801,"Initial","Control"
"A0_CORE1","gr_15_sp1","A0_CORE1","gr15","grave","core","0","A","DA","Initial","D_Initial","Initial",0.414340102,7.51,18.45,96.7,2.620720119,7.528060914,6.175951777,0.464,6.053,13.0549,5649630000,9.752020144,0.0186888,-1.728419567,4506.556818,6.249345992,121.7988082,"Initial","Donor1"
"A0_CORE2","gr_15_sp2","A0_CORE2","gr15","grave","core","0","A","DA","Initial","D_Initial","Initial",0.366706161,7.38,43.46,98,1.951326767,8.397042654,8.508201422,0.294,3.924,13.3537,5472100000,9.738154163,0.015939,-1.797539934,5374.50497,6.304634708,120.3883445,"Initial","Donor2"
"A0_CORE3","gr_15_sp3","A0_CORE3","gr15","grave","core","0","A","DA","Initial","D_Initial","Initial",0.436163714,7.17,57.04,97.1,2.762865679,10.90718469,9.658679699,0.4,5.275,13.1795,3839910000,9.58432137,0.0396776,-1.40145491,5235.051661,6.165266606,108.6863951,"Initial","Donor3"
"A0_IN1","gr_int_sp1","A0_IN1","grint","grave","interface","0","A","DA","Initial","D_Initial","Initial",0.318925999,7.4,23.22,96.7,3.928728239,15.06037634,13.06967736,0.738,11.412,15.4723,1788600000,9.252512155,0.055969,-1.252052104,5596.333333,6.731612834,265.1202392,"Initial","Donor1"
"A0_IN2","gr_int_sp2","A0_IN2","grint","grave","interface","0","A","DA","Initial","D_Initial","Initial",0.366893144,7.13,45.54,98,4.913158209,10.63625118,8.507542928,0.748,10.793,14.4246,1339440000,9.126922174,0.0553666,-1.256752432,4794.375701,6.782975895,297.0886976,"Initial","Donor2"
"A0_IN3","gr_int_sp3","A0_IN3","grint","grave","interface","0","A","DA","Initial","D_Initial","Initial",0.414685315,6.86,152.2,97.1,6.394766351,42.56127925,39.6187338,0.783,11.474,14.6449,1919530000,9.283193927,0.0713098,-1.146850699,6124.367378,6.766541014,270.0044649,"Initial","Donor3"
"B8","con15_mean","B8","con15","control","core","8","B","con","Bloat","Control","Bloat",0.247570681,7.316666667,81.44666667,98.63333333,2.75501047,8.610900009,6.307869084,0.487666667,6.570666667,13.5219,5720010000,9.757396571,0.0405444,-1.392068685,4213.280098,6.242215002,117.7797387,"BLOOM","Control"
"B8_CONINT","conint_mean","B8_CONINT","conint","control","interface","8","B","con","Bloat","Control","Bloat",0.234359626,7.026666667,80.17333333,98.63333333,3.198870245,13.01840779,13.14986437,0.788666667,11.53633333,14.63093333,2271700000,9.356351573,0.0456563,-1.340499464,6536.282913,6.834083978,265.3063821,"BLOOM","Control"
"B8_CORE1","gr_15_sp1","B8_CORE1","gr15","grave","core","8","B","DB","Bloat","E_Bloat","Bloat",0.186688312,7.07,134.4,92.7,8.952020735,37.81580087,12.65167965,0.278,3.417,12.2796,2321010000,9.365676189,0.0266126,-1.574912821,4933.621762,6.623324263,216.53408,"BLOOM","Donor1"
"B8_CORE2","gr_15_sp2","B8_CORE2","gr15","grave","core","8","B","DB","Bloat","E_Bloat","Bloat",0.284563758,6.24,133.2,10.75,16.50232573,26.95871141,2.58282953,0.417,5.637,13.5071,4180530000,9.621231453,0.0586959,-1.231392257,3565.44504,6.068919233,105.4024217,"BLOOM","Donor2"
"B8_CORE3","gr_15_sp3","B8_CORE3","gr15","grave","core","8","B","DB","Bloat","E_Bloat","Bloat",0.281362007,6.55,127.4,75.7,22.67785438,28.77084827,6.355555556,0.536,8.513,15.8749,2.7537e+10,10.4399162,0.0144251,-1.840880205,4004.281726,6.039737271,96.11946899,"BLOOM","Donor3"
"B8_IN1","gr_int_sp1","B8_IN1","grint","grave","interface","8","B","DB","Bloat","E_Bloat","Bloat",0.448135198,6.97,2495,92.7,52.21004107,3053.055167,3.871348096,0.981,16.394,16.7154,41338500000,10.61635504,0.0151812,-1.818693848,2346.504673,4.161962468,14.80193293,"BLOOM","Donor1"
