"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu00001","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter"
"Otu00002","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured"
"Otu00003","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"Otu00004","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter"
"Otu00005","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1"
"Otu00006","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00007","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacteriaceae_unclassified"
"Otu00008","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderiaceae_unclassified"
"Otu00009","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00010","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"Otu00011","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"Otu00012","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcaceae_unclassified"
"Otu00013","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderiaceae_unclassified"
"Otu00014","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"Otu00015","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"Otu00016","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified"
"Otu00017","Bacteria","Actinobacteria","MB-A2-108","MB-A2-108_or","MB-A2-108_fa","MB-A2-108_ge"
"Otu00018","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu00019","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"Otu00020","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacteriaceae_unclassified"
"Otu00021","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus"
"Otu00022","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderiaceae_unclassified"
"Otu00023","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"Otu00024","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Helcococcus"
"Otu00025","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella"
"Otu00026","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu00027","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Otu00028","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Otu00029","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00030","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangiaceae_unclassified"
"Otu00031","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia"
"Otu00032","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu00033","Bacteria","Rokubacteria","NC10","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00034","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"Otu00035","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium"
"Otu00036","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium"
"Otu00037","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacteraceae_unclassified"
"Otu00038","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00039","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu00040","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"Otu00041","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"Otu00042","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Cellulosimicrobium"
"Otu00043","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu00044","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"Otu00045","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"Otu00046","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Otu00047","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Otu00048","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophagaceae_unclassified"
"Otu00049","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella"
"Otu00050","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"Otu00051","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacteriaceae_unclassified"
"Otu00052","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Otu00053","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Entotheonellaceae_ge"
"Otu00054","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00055","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae_unclassified"
"Otu00056","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"Otu00057","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_7"
"Otu00058","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00059","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Otu00060","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Castellaniella"
"Otu00061","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Otu00062","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Otu00063","Bacteria","Rokubacteria","NC10","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00064","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridiaceae_1_unclassified"
"Otu00065","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus"
"Otu00066","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"Otu00067","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"Otu00068","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_unclassified"
"Otu00069","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"Otu00070","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Otu00071","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00072","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00073","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256","IMCC26256_fa","IMCC26256_ge"
"Otu00074","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00075","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Micropepsaceae_unclassified"
"Otu00076","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00077","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu00078","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium"
"Otu00079","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"Otu00080","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","uncultured","uncultured_ge"
"Otu00081","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00082","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu00083","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00084","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xylophilus"
"Otu00085","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00086","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45_ge"
"Otu00087","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"Otu00088","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00089","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Otu00090","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge"
"Otu00091","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Otu00092","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"Otu00093","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured"
"Otu00094","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured"
"Otu00095","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Otu00096","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"Otu00097","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00098","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu00099","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00100","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00101","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu00102","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophagaceae_unclassified"
"Otu00103","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Otu00104","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00105","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Otu00106","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00107","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"Otu00108","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu00109","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00110","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"Otu00111","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_ge"
"Otu00112","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Otu00113","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"Otu00114","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Otu00115","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Otu00116","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Otu00117","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00118","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00119","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00120","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Otu00121","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Otu00122","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"Otu00123","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus"
"Otu00124","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus"
"Otu00125","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00126","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium"
"Otu00127","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia"
"Otu00128","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24","11-24_fa","11-24_ge"
"Otu00129","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae_unclassified"
"Otu00130","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Otu00131","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu00132","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00133","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"Otu00134","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Otu00135","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Otu00136","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae_unclassified"
"Otu00137","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu00138","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge"
"Otu00139","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Otu00140","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellales_unclassified","Gaiellales_unclassified"
"Otu00141","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"Otu00142","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella"
"Otu00143","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum"
"Otu00144","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Otu00145","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"Otu00146","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00147","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Otu00148","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Otu00149","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter"
"Otu00150","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus"
"Otu00151","Bacteria","Rokubacteria","NC10","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00152","Bacteria","Acidobacteria","Holophagae","Subgroup_7","Subgroup_7_fa","Subgroup_7_ge"
"Otu00153","Bacteria","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified"
"Otu00154","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured"
"Otu00155","Bacteria","Acidobacteria","Subgroup_5","Subgroup_5_or","Subgroup_5_fa","Subgroup_5_ge"
"Otu00156","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Camelimonas"
"Otu00157","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","uncultured","uncultured_ge"
"Otu00158","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified"
"Otu00159","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00160","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Otu00161","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter"
"Otu00162","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"Otu00163","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055"
"Otu00164","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Otu00165","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacteraceae_unclassified"
"Otu00166","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Otu00167","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Tahibacter"
"Otu00168","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45_ge"
"Otu00169","Bacteria","Chloroflexi","Dehalococcoidia","S085","S085_fa","S085_ge"
"Otu00170","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00171","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu00172","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paeniglutamicibacter"
"Otu00173","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00174","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacteriaceae_unclassified"
"Otu00175","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"Otu00176","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera"
"Otu00177","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00178","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067"
"Otu00179","Bacteria","Acidobacteria","Subgroup_5","Subgroup_5_or","Subgroup_5_fa","Subgroup_5_ge"
"Otu00180","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides"
"Otu00181","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00182","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera"
"Otu00183","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge"
"Otu00184","Bacteria","Actinobacteria","MB-A2-108","MB-A2-108_or","MB-A2-108_fa","MB-A2-108_ge"
"Otu00185","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Otu00186","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified"
"Otu00187","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella"
"Otu00188","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter"
"Otu00189","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Patulibacter"
"Otu00190","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum"
"Otu00191","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45_ge"
"Otu00192","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Otu00193","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"Otu00194","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","B1-7BS","B1-7BS_ge"
"Otu00195","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00196","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Otu00197","Bacteria","Rokubacteria","NC10","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00198","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge"
"Otu00199","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"Otu00200","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophagaceae_unclassified"
"Otu00201","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Otu00202","Bacteria","Rokubacteria","NC10","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00203","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Otu00204","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"Otu00205","Bacteria","Rokubacteria","NC10","Rokubacteriales","Rokubacteriales_fa","Rokubacteriales_ge"
"Otu00206","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"Otu00207","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14_ge"
"Otu00208","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Azospira"
"Otu00209","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriales_Incertae_Sedis","Tomitella"
"Otu00210","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacteriaceae_unclassified"
"Otu00211","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridiaceae_1_unclassified"
"Otu00212","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"Otu00213","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
"Otu00214","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcaceae_unclassified"
