"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu00001","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"Otu00002","Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA
"Otu00004","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA
"Otu00005","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"Otu00007","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"Otu00010","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"Otu00011","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"Otu00014","Bacteria","Actinobacteria","Thermoleophilia",NA,NA,NA
"Otu00017","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"Otu00025","Bacteria","Entotheonellaeota","Entotheonellia",NA,NA,NA
"Otu00026","Bacteria","Rokubacteria","NC10",NA,NA,NA
"Otu00035","Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA
"Otu00036","Bacteria","Bacteria_unclassified","Bacteria_unclassified",NA,NA,NA
"Otu00040","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"Otu00061","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)",NA,NA,NA
"Otu00062","Bacteria","Firmicutes","Bacilli",NA,NA,NA
"Otu00064","Bacteria","Firmicutes","Clostridia",NA,NA,NA
"Otu00081","Bacteria","Actinobacteria","Actinobacteria_unclassified",NA,NA,NA
"Otu00096","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA
"Otu00099","Bacteria","Acidobacteria","Subgroup_5",NA,NA,NA
"Otu00118","Bacteria","Chloroflexi","Chloroflexia",NA,NA,NA
"Otu00135","Bacteria","Nitrospirae","Nitrospira",NA,NA,NA
"Otu00138","Bacteria","Chloroflexi","TK10",NA,NA,NA
"Otu00142","Bacteria","Planctomycetes","Planctomycetacia",NA,NA,NA
"Otu00163","Bacteria","Acidobacteria","Holophagae",NA,NA,NA
"Otu00164","Bacteria","Firmicutes","Negativicutes",NA,NA,NA
"Otu00180","Bacteria","Chloroflexi","Gitt-GS-136",NA,NA,NA
"Otu00206","Bacteria","Acidobacteria","Subgroup_18",NA,NA,NA
"Otu00281","Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA
"Otu00309","Bacteria","Dependentiae","Babeliae",NA,NA,NA
"Otu00336","Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA
"Otu00343","Bacteria","Planctomycetes","Phycisphaerae",NA,NA,NA
"Otu00358","Bacteria","Planctomycetes","Planctomycetes_unclassified",NA,NA,NA
"Otu00380","Bacteria","Acidobacteria","Subgroup_11",NA,NA,NA
"Otu00414","Bacteria","Gemmatimonadetes","Gemmatimonadetes",NA,NA,NA
"Otu00451","Bacteria","Gemmatimonadetes","S0134_terrestrial_group",NA,NA,NA
"Otu00458","Bacteria","Acidobacteria","Subgroup_17",NA,NA,NA
"Otu00494","Bacteria","Actinobacteria","Rubrobacteria",NA,NA,NA
"Otu00508","Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA
"Otu00516","Bacteria","Cyanobacteria","Oxyphotobacteria",NA,NA,NA
"Otu00560","Bacteria","Chlamydiae","Chlamydiae",NA,NA,NA
"Otu00575","Bacteria","Latescibacteria","Latescibacteria_cl",NA,NA,NA
"Otu00609","Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA
"Otu00652","Bacteria","FBP","FBP_cl",NA,NA,NA
"Otu00668","Bacteria","BRC1","BRC1_cl",NA,NA,NA
"Otu00690","Bacteria","Acidobacteria","Subgroup_25",NA,NA,NA
"Otu00713","Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA
"Otu00896","Bacteria","Planctomycetes","Pla3_lineage",NA,NA,NA
"Otu00916","Bacteria","Acidobacteria","Thermoanaerobaculia",NA,NA,NA
"Otu00942","Bacteria","Acidobacteria","Subgroup_22",NA,NA,NA
"Otu01025","Bacteria","Planctomycetes","OM190",NA,NA,NA
"Otu01069","Bacteria","Armatimonadetes","uncultured",NA,NA,NA
"Otu01126","Bacteria","Bacteroidetes","Ignavibacteria",NA,NA,NA
"Otu01186","Bacteria","Chloroflexi","OLB14",NA,NA,NA
