"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu00001","Bacteria","Proteobacteria",NA,NA,NA,NA
"Otu00002","Bacteria","Verrucomicrobia",NA,NA,NA,NA
"Otu00004","Bacteria","Actinobacteria",NA,NA,NA,NA
"Otu00007","Bacteria","Acidobacteria",NA,NA,NA,NA
"Otu00017","Bacteria","Chloroflexi",NA,NA,NA,NA
"Otu00025","Bacteria","Entotheonellaeota",NA,NA,NA,NA
"Otu00026","Bacteria","Rokubacteria",NA,NA,NA,NA
"Otu00036","Bacteria","Bacteria_unclassified",NA,NA,NA,NA
"Otu00040","Bacteria","Bacteroidetes",NA,NA,NA,NA
"Otu00064","Bacteria","Firmicutes",NA,NA,NA,NA
"Otu00135","Bacteria","Nitrospirae",NA,NA,NA,NA
"Otu00142","Bacteria","Planctomycetes",NA,NA,NA,NA
"Otu00309","Bacteria","Dependentiae",NA,NA,NA,NA
"Otu00336","Bacteria","Epsilonbacteraeota",NA,NA,NA,NA
"Otu00414","Bacteria","Gemmatimonadetes",NA,NA,NA,NA
"Otu00516","Bacteria","Cyanobacteria",NA,NA,NA,NA
"Otu00560","Bacteria","Chlamydiae",NA,NA,NA,NA
"Otu00575","Bacteria","Latescibacteria",NA,NA,NA,NA
"Otu00609","Bacteria","Deinococcus-Thermus",NA,NA,NA,NA
"Otu00652","Bacteria","FBP",NA,NA,NA,NA
"Otu00668","Bacteria","BRC1",NA,NA,NA,NA
"Otu01069","Bacteria","Armatimonadetes",NA,NA,NA,NA
"Otu01452","Bacteria","Fibrobacteres",NA,NA,NA,NA
"Otu01748","Bacteria","Patescibacteria",NA,NA,NA,NA
"Otu01941","Bacteria","Elusimicrobia",NA,NA,NA,NA
"Otu02125","Bacteria","WPS-2",NA,NA,NA,NA
"Otu02438","Bacteria","RsaHf231",NA,NA,NA,NA
"Otu02745","Bacteria","Fusobacteria",NA,NA,NA,NA
"Otu02957","Bacteria","Tenericutes",NA,NA,NA,NA
"Otu03615","Bacteria","Hydrogenedentes",NA,NA,NA,NA
"Otu03675","Bacteria","Synergistetes",NA,NA,NA,NA
"Otu03948","Bacteria","WS2",NA,NA,NA,NA
"Otu04079","Bacteria","Spirochaetes",NA,NA,NA,NA
"Otu04520","Bacteria","GAL15",NA,NA,NA,NA
"Otu05381","Bacteria","Lentisphaerae",NA,NA,NA,NA
"Otu06749","Bacteria","Kiritimatiellaeota",NA,NA,NA,NA
"Otu07237","Bacteria","FCPU426",NA,NA,NA,NA
"Otu07522","Bacteria","Omnitrophicaeota",NA,NA,NA,NA
