Sample,Sample_name,Type,Location,Depth,Study_day,Sort1,Sort2,Stage,Stage1,Stage,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson,
gr_int_sp1,A0_IN1,grint,grave,interface,0,A,DA,Initial,D_Initial,Initial,0.318925999,7.4,23.22,96.7,3.928728239,15.06037634,13.06967736,0.738,11.412,15.4723,1.00106E+08,8.000460051,5.59690E-02,-1.252052104,1223.5,5.177614129,52.63281933,
gr_15_sp1,A0_CORE1,gr15,grave,core,0,A,DA,Initial,D_Initial,Initial,0.414340102,7.51,18.45,96.7,2.620720119,7.528060914,6.175951777,0.464,6.053,13.0549,1.05585E+08,8.023600577,1.86888E-02,-1.728419567,1001.777778,4.251844,27.65746625,
gr_int_sp2,A0_IN2,grint,grave,interface,0,A,DA,Initial,D_Initial,Initial,0.366893144,7.13,45.54,98,4.913158209,10.63625118,8.507542928,0.748,10.793,14.4246,7.41600E+07,7.870169742,5.53666E-02,-1.256752432,1254.307692,5.117224838,63.07303706,
gr_15_sp2,A0_CORE2,gr15,grave,core,0,A,DA,Initial,D_Initial,Initial,0.366706161,7.38,43.46,98,1.951326767,8.397042654,8.508201422,0.294,3.924,13.3537,8.72196E+07,7.94061423,1.59390E-02,-1.797539934,741.2604167,4.166166644,28.6589915,
gr_int_sp3,A0_IN3,grint,grave,interface,0,A,DA,Initial,D_Initial,Initial,0.414685315,6.86,152.2,97.1,6.394766351,42.56127925,39.6187338,0.783,11.474,14.6449,1.36881E+08,8.136343228,7.13098E-02,-1.146850699,1303.403974,4.322175177,12.58060901,
gr_15_sp3,A0_CORE3,gr15,grave,core,0,A,DA,Initial,D_Initial,Initial,0.436163714,7.17,57.04,97.1,2.762865679,10.90718469,9.658679699,0.4,5.275,13.1795,1.52358E+08,8.182866461,3.96776E-02,-1.40145491,1056.509259,4.36869393,27.41580627,
conint_mean,A0_CONINT,conint,control,interface,0,A,con,Initial,Control,Initial,0.655996133,7.32,43.84,97.76666667,8.674386275,19.43921238,8.246894757,0.803333333,12.421,15.46976667,9.76172E+07,7.989526531,5.28611E-02,-1.276863613,1355.294118,5.205193891,65.58258342,
con15_mean,A0,con15,control,core,0,A,con,Initial,Control,Initial,0.434770967,7.37,31.30666667,97.76666667,2.899589227,9.028600977,7.264355671,0.373333333,4.997333333,13.44186667,8.35875E+07,7.922141294,1.87608E-02,-1.726748198,894.46,4.285806967,28.48103291,
gr_int_sp1,B8_IN1,grint,grave,interface,8,B,DB,Bloat,E_Bloat,Bloat,0.448135198,6.97,2495,92.7,52.21004107,3053.055167,3.871348096,0.981,16.394,16.7154,6.27569E+08,8.797661191,1.51812E-02,-1.818693848,871.5375,0.532954889,1.128786567,
gr_15_sp1,B8_CORE1,gr15,grave,core,8,B,DB,Bloat,E_Bloat,Bloat,0.186688312,7.07,134.4,92.7,8.952020735,37.81580087,12.65167965,0.278,3.417,12.2796,6.17680E+07,7.790763368,2.66126E-02,-1.574912821,847,3.940512744,16.76527794,
gr_int_sp2,B8_IN2,grint,grave,interface,8,B,DB,Bloat,E_Bloat,Bloat,0.405729514,6.61,4.537,10.75,55.58105805,2601.536753,0.316757717,0.842,14.078,16.7146,1.23678E+09,9.092292695,2.16857E-02,-1.663827185,966.2857143,1.886413206,2.117045781,
gr_15_sp2,B8_CORE2,gr15,grave,core,8,B,DB,Bloat,E_Bloat,Bloat,0.284563758,6.24,133.2,10.75,16.50232573,26.95871141,2.58282953,0.417,5.637,13.5071,2.45380E+08,8.389839196,5.86959E-02,-1.231392257,1177.629032,4.210464068,14.89382246,
gr_int_sp3,B8_IN3,grint,grave,interface,8,B,DB,Bloat,E_Bloat,Bloat,0.287376382,6.43,407.9,75.7,43.51573266,821.861082,14.75848284,0.808,18.406,22.7937,1.17037E+09,9.068324707,3.26108E-02,-1.486638969,1074.155963,1.681157351,1.637795472,
gr_15_sp3,B8_CORE3,gr15,grave,core,8,B,DB,Bloat,E_Bloat,Bloat,0.281362007,6.55,127.4,75.7,22.67785438,28.77084827,6.355555556,0.536,8.513,15.8749,3.97224E+08,8.599035999,1.44251E-02,-1.840880205,1613.197802,4.030437017,8.699740181,
conint_mean,B8_CONINT,conint,control,interface,8,B,con,Bloat,Control,Bloat,0.234359626,7.026666667,80.17333333,98.63333333,3.198870245,13.01840779,13.14986437,0.788666667,11.53633333,14.63093333,1.03718E+08,8.015852109,4.56563E-02,-1.340499464,1472.053476,5.597391009,103.7825542,
con15_mean,B8,con15,control,core,8,B,con,Bloat,Control,Bloat,0.247570681,7.316666667,81.44666667,98.63333333,2.75501047,8.610900009,6.307869084,0.487666667,6.570666667,13.5219,2.31914E+08,8.365327886,4.05444E-02,-1.392068685,1565.685393,5.287528833,77.41520467,
gr_int_sp1,C12_IN1,grint,grave,interface,12,C,DC,Active,F_Active,Active,0.451807229,7.07,4.311,38.8,10.15080003,8432.096386,0.971742972,0.989,27.874,28.1899,2.02056E+07,7.305472011,2.70638E-01,-0.567611387,288.15625,1.240926891,2.355718518,
gr_15_sp1,C12_CORE1,gr15,grave,core,12,C,DC,Active,F_Active,Active,0.333333333,6.5,185.1,38.8,44.47580692,195.3777778,2.737777778,0.436,8.599,19.7237,8.22057E+08,8.91490205,2.11444E-02,-1.674803964,639.7183099,3.22472869,5.281787136,
gr_int_sp2,C12_IN2,grint,grave,interface,12,C,DC,Active,F_Active,Active,0.607142857,6.92,4.709,29,53.98820304,6049.714286,0.792857143,1.329,28.492,21.4424,1.84609E+08,8.266252577,8.70300E-02,-1.060330842,919.009434,2.311098941,2.628276261,
gr_15_sp2,C12_CORE2,gr15,grave,core,12,C,DC,Active,F_Active,Active,0.128755365,6.59,620.5,29,36.52367786,279.6002289,4.936423462,0.525,7.272,13.8503,1.20208E+09,9.079931968,2.64648E-02,-1.577330803,1537.959732,3.681117751,11.31580643,
gr_int_sp3,C12_IN3,grint,grave,interface,12,C,DC,Active,F_Active,Active,0.297752809,7.03,3.057,48.9,56.37575419,6234.750562,3.085191011,1.007,24.159,23.9853,9.74464E+07,7.988765701,3.43673E-02,-1.463854642,1271.068027,2.735073907,2.824784286,
gr_15_sp3,C12_CORE3,gr15,grave,core,12,C,DC,Active,F_Active,Active,0.368131868,5.99,407.7,48.9,42.47563728,597.3446154,1.503120879,0.636,12.195,19.18,8.99977E+08,8.954231633,2.99577E-02,-1.523492065,935.9811321,2.826497745,4.980945155,
conint_mean,C12_CONINT,conint,control,interface,12,C,con,Active,Control,Active,0.332468406,7.29,60.33,100.1,3.310424432,13.77957239,14.03934455,0.825666667,11.83633333,14.32823333,7.24521E+08,8.860051237,3.61990E-02,-1.441303114,2467.222672,5.663142499,84.58877136,
con15_mean,C12,con15,control,core,12,C,con,Active,Control,Active,0.345032745,7.306666667,47.95666667,100.1,1.9624064,9.993284641,7.771528856,0.551,6.984666667,12.5859,1.00316E+08,8.001371639,4.63951E-03,-2.333527549,1684.783186,5.196595465,65.94903781,
gr_int_sp1,D16_IN1,grint,grave,interface,16,D,DD,Advanced1,G_Advanced,Advanced,0.644268775,6.88,4.721,53.2,77.3349346,9287.706983,2.358977602,1.218,31.911,26.1968,6.29482E+08,8.798983656,3.33831E-02,-1.476473594,563.238806,1.540126234,2.171694681,
gr_15_sp1,D16_CORE1,gr15,grave,core,16,D,DD,Advanced1,G_Advanced,Advanced,0.382315522,5.9,706.3,53.2,51.06214053,1035.44648,1.0063257,0.915,16.179,17.6726,1.64244E+09,9.215490793,5.44977E-02,-1.263621525,540.5,1.876278846,2.917446371,
gr_int_sp2,D16_IN2,grint,grave,interface,16,D,DD,Advanced1,G_Advanced,Advanced,0.540740741,6.61,3.445,38.6,75.52513215,5391.36,0.969639506,1.28,25.641,20.038,1.20358E+08,8.080474787,5.26977E-02,-1.278208437,344,0.31138805,1.084334367,
