Sample_name,Sample,Type,Location,Depth,Sort1,Sort2,Stage,Stage1,Study day,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
A0_INT1,gr_int_win1,grint,grave,interface,A,DA,Initial,D_Initial,0,0.896494157,7.18,50.21,104.2,7.102487936,5.552934891,6.824850306,0.895,14.789,16.5244,2.36799E+09,9.374380616,4.73483E-02,-1.32469579,1691.180995,5.544261984,84.8219882
A0_CORE1,gr_15_win1,gr15,grave,core,A,DA,Initial,D_Initial,0,0.559730791,7.64,38.13,104.2,1.743355568,8.651306786,5.573438026,0.483,6.802,14.095,8.16430E+08,8.911919023,3.04409E-02,-1.516543017,1382.216867,5.179672201,65.04169995
A0_INT2,gr_int_win2,grint,grave,interface,A,DA,Initial,D_Initial,0,0.909016393,7.36,49.8,102.3,7.093167852,7.279715847,5.116163934,0.914,15.226,16.6521,1.85683E+09,9.26877184,2.74145E-02,-1.562018944,1996.098214,5.603368569,80.46579367
A0_CORE2,gr_15_win2,gr15,grave,core,A,DA,Initial,D_Initial,0,0.547393365,7.46,52.14,102.3,2.213477386,8.851090047,5.190988942,0.402,6.244,15.5285,7.75658E+08,8.889670019,2.29702E-02,-1.638835273,1392.437126,5.129911445,69.8332419
A0_INT3,gr_int_win3,grint,grave,interface,A,DA,Initial,D_Initial,0,0.895881896,7.57,93.44,102.5,5.381384364,8.786780627,5.235161875,0.997,14.934,14.9822,1.14241E+09,9.057823487,3.13677E-02,-1.503517174,1921.049261,5.372562013,63.10113957
A0_CORE3,gr_15_win3,gr15,grave,core,A,DA,Initial,D_Initial,0,0.657713929,7.56,66.98,102.5,2.203526346,10.2115178,6.988921924,0.749,9.578,12.7833,6.03897E+08,8.78096262,1.80632E-02,-1.743204936,1553.502513,5.021048148,46.65613428
A0_CONINT,conint_mean,conint,control,interface,A,con,Initial,Control,0,0.963063224,7.41,52.79333333,101.6333333,7.393177147,13.23748193,7.270291164,0.987666667,15.912,16.17936667,1.77742E+09,9.249788902,4.64278E-02,-1.333221715,1861.145749,5.068942862,32.40482218
A0,con15_mean,con15,control,core,A,con,Initial,Control,0,0.574357826,7.59,53.23,101.6333333,1.993868163,8.984475212,6.626388101,0.599333333,8.093333333,13.798,5.05836E+08,8.704009627,2.39132E-02,-1.621363151,1312.126984,5.07713553,48.5121181
B5_INT1,gr_int_win1,grint,grave,interface,B,DB,Bloat,E_Bloat,21,0.873472322,7.1,69.03,98.2,16.32939548,19.77387587,13.07683681,0.972,14.227,14.6345,1.58396E+09,9.199745356,3.61932E-02,-1.441373307,1515.452632,5.191271446,59.25617544
B5_CORE1,gr_15_win1,gr15,grave,core,B,DB,Bloat,E_Bloat,21,0.512763596,7.27,80.28,98.2,2.265607509,11.35581206,16.82596522,0.439,6.359,14.486,5.68372E+08,8.754632568,2.59568E-02,-1.585749218,1342.083333,5.334328434,82.36269506
B5_INT2,gr_int_win2,grint,grave,interface,B,DB,Bloat,E_Bloat,21,0.803582458,7.34,102.4,97.45,14.22709964,67.22793494,35.94660078,0.743,11.124,14.9693,1.24775E+09,9.096128461,2.57025E-02,-1.590024208,1723.642045,5.378775736,68.9690305
B5_CORE2,gr_15_win2,gr15,grave,core,B,DB,Bloat,E_Bloat,21,0.505099302,7.49,99.41,97.45,2.31624313,17.72003578,18.37425228,0.38,4.982,13.115,1.19207E+09,9.076300802,4.67905E-02,-1.329842542,1379.270833,4.940997379,43.65253213
B5_INT3,gr_int_win3,grint,grave,interface,B,DB,Bloat,E_Bloat,21,0.970542636,7.24,101.4,95.3,26.29995213,19.65287855,1.111386047,1.022,14.542,14.2241,3.32004E+08,8.52114293,9.58281E-03,-2.018506961,1702.142202,5.354812428,58.49959897
B5_CORE3,gr_15_win3,gr15,grave,core,B,DB,Bloat,E_Bloat,21,0.707772795,7.36,164,95.3,4.363127421,34.49701046,41.63322372,0.786,9.618,12.235,6.96282E+08,8.842785382,5.86272E-02,-1.23190097,799.7840909,3.810335761,13.71371311
