iter	Logloss
0	0.6862717786
1	0.676505588
2	0.6653360852
3	0.6582037381
4	0.6460420681
5	0.6376116467
6	0.6316843533
7	0.6266198329
8	0.6204383384
9	0.615171358
10	0.6075810151
11	0.5993045568
12	0.5956067379
13	0.5890493521
14	0.584361302
15	0.5755173458
16	0.5707891136
17	0.5639487015
18	0.5585727734
19	0.5534471401
20	0.5470553871
21	0.5421972339
22	0.5376404758
23	0.5322859351
24	0.523410993
25	0.5202607896
26	0.5159890396
27	0.5104120927
28	0.5062057717
29	0.5027392549
30	0.4992529239
31	0.4953083353
32	0.4903982111
33	0.4844459338
34	0.4809688457
35	0.4769947146
36	0.4726228161
37	0.4690896911
38	0.4647030703
39	0.4607515633
40	0.456846565
41	0.4523019493
42	0.4488865861
43	0.4442730333
44	0.4409321036
45	0.4365943372
46	0.432821376
47	0.4290735977
48	0.425755603
49	0.4228717259
50	0.4197156557
51	0.4166650219
52	0.4128929802
53	0.4102362309
54	0.4076407211
55	0.4039670059
56	0.4012445126
57	0.398579325
58	0.3958861062
59	0.3935603585
60	0.3912670357
61	0.3890120898
62	0.386724157
63	0.3845492857
64	0.3824158396
65	0.3804608839
66	0.3781012041
67	0.3758598481
68	0.3736620205
69	0.3716982603
70	0.3699100443
71	0.3681498255
72	0.3660883052
73	0.3640631437
74	0.362258
75	0.3606134142
76	0.3588643329
77	0.3572668263
78	0.3555637428
79	0.3540138347
80	0.3524861932
81	0.350982649
82	0.3495066421
83	0.3480511223
84	0.3466153315
85	0.3452007174
86	0.3438045979
87	0.3424278668
88	0.3410710607
89	0.3397323404
90	0.3384118846
91	0.3371102554
92	0.3358261245
93	0.3345592618
94	0.3333085605
95	0.3320755788
96	0.3308587074
97	0.3296570012
98	0.3284717713
99	0.3273010424
