iter	Passed	Remaining
0	0	12
1	0	9
2	0	9
3	0	8
4	0	8
5	0	7
6	0	7
7	0	7
8	0	7
9	0	6
10	0	6
11	0	6
12	0	6
13	1	6
14	1	6
15	1	6
16	1	5
17	1	5
18	1	5
19	1	5
20	1	5
21	1	5
22	1	5
23	1	5
24	1	5
25	1	5
26	1	5
27	1	5
28	1	4
29	2	4
30	2	4
31	2	4
32	2	4
33	2	4
34	2	4
35	2	4
36	2	4
37	2	4
38	2	4
39	2	4
40	2	4
41	2	4
42	3	4
43	3	3
44	3	3
45	3	3
46	3	3
47	3	3
48	3	3
49	3	3
50	3	3
51	3	3
52	3	3
53	4	3
54	4	3
55	4	3
56	4	3
57	4	3
58	4	3
59	4	3
60	4	2
61	4	2
62	4	2
63	4	2
64	4	2
65	5	2
66	5	2
67	5	2
68	5	2
69	5	2
70	5	2
71	5	2
72	5	2
73	5	2
74	5	1
75	5	1
76	6	1
77	6	1
78	6	1
79	6	1
80	6	1
81	6	1
82	6	1
83	6	1
84	6	1
85	6	1
86	7	1
87	7	0
88	7	0
89	7	0
90	7	0
91	7	0
92	7	0
93	7	0
94	7	0
95	7	0
96	7	0
97	8	0
98	8	0
99	8	0
