"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"X4479946","Bacteria","Proteobacteria","Betaproteobacteria","MND1","","",""
"X4307314","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","",""
"X4376890","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",""
"X337735","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",""
"X347991","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",""
"X181348","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",""
"X4454356","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",""
"X261920","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Pseudoalteromonas","ruthenica"
"X189592","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","",""
"X4455330","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","",""
"X301064","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","flavefaciens"
"X3957916","Bacteria","Firmicutes","Clostridia","Clostridiales","","",""
"X2506486","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","",""
"X300250","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",""
"X4343580","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",""
"X4465907","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",""
"X4440096","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","",""
"X4371046","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"X4430921","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","",""
"X4454531","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"X4393783","Bacteria","Proteobacteria","Betaproteobacteria","","","",""
"X194101","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",""
"X4335436","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",""
"X576649","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",""
"X3220253","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio",""
"X1974536","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",""
"X1135042","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas",""
"X176067","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",""
