"","g__Neisseria","g__Blautia","g__Turicibacter","g__feature_4","g__feature_5","g__Aggregatibacter","g__Serratia","g__Sutterella","g__Fusobacterium","g__Gardnerella","g__feature_11","g__Actinobacillus","g__Salmonella","g__Thiothrix","g__Gyrocarpus","g__feature_16","g__Paludibacter","g__Cloacibacillus","g__Cytophaga","g__Parabacteroides","g__Clostridium","g__02d06","g__Methylophaga","g__5-7N15","g__Alcanivorax","g__Rhodoferax","g__Corynebacterium","g__feature_28","g__feature_29","g__Clostridium.1","g__feature_31","g__Clostridium.2","g__Bulleidia","g__Vagococcus","g__Sarcina","g__Pediococcus","g__feature_37","g__Oxalobacter","g__Clostridium.3","g__feature_40","g__cc_115","g__Methyloversatilis","g__feature_43","g__Mogibacterium","g__feature_45","g__feature_46","g__Parvimonas","g__Veillonella","g__Klebsiella","g__Bacteroides","g__Varibaculum","g__Eggerthella","g__feature_53","g__feature_54","g__Faecalibacterium","g__Leptothrix","g__Ruminococcus","g__[Prevotella]","g__Lactococcus","g__Candidatus Portiera","g__feature_61","g__Peptococcus","g__Catenibacterium","g__Succiniclasticum","g__Anaerostipes","g__Dialister","g__feature_67","g__Enterococcus","g__feature_69","g__feature_70","g__feature_71","g__Alloscardovia","g__Roseburia","g__Limnohabitans","g__feature_75","g__[Eubacterium]","g__Actinomyces","g__Finegoldia","g__Leuconostoc","g__CF231","g__feature_81","g__Allobaculum","g__feature_83","g__feature_84","g__Leptotrichia","g__Uliginosibacterium","g__feature_87","g__Coprobacillus","g__Erwinia","g__Ralstonia","g__Adlercreutzia","g__feature_92","g__Limnobacter","g__Cardiobacterium","g__Phascolarctobacterium","g__Listeria","g__Facklamia","g__feature_98","g__Lautropia","g__feature_100","g__Anaerofustis","g__Paraprevotella","g__Enterobacter","g__feature_104","g__feature_105","g__Akkermansia","g__Oscillospira","g__feature_108","g__Pseudomonas","g__feature_110","g__Morganella","g__feature_112","g__Desulfovibrio","g__feature_114","g__rc4-4","g__Coprococcus","g__Melissococcus","g__feature_118","g__feature_119","g__Methanobrevibacter","g__Lachnospira","g__feature_122","g__Selenomonas","g__Megamonas","g__feature_125","g__Alistipes","g__feature_127","g__Acidaminococcus","g__Dorea","g__Acinetobacter","g__Lachnobacterium","g__Proteus","g__Odoribacter","g__feature_134","g__Pseudoramibacter_Eubacterium","g__feature_136","g__Butyrivibrio","g__Prevotella","g__Pasteurella","g__Christensenella","g__feature_141","g__Epulopiscium","g__Burkholderia","g__WAL_1855D","g__feature_145","g__feature_146","g__Dysgonomonas","g__Methylibium","g__Moryella","g__Citrobacter","g__Anaerococcus","g__Robinsoniella","g__Gemella","g__Granulicatella","g__feature_155","g__Campylobacter","g__Butyricimonas","g__feature_158","g__feature_159","g__Comamonas","g__feature_161","g__Dehalobacterium","g__Porphyromonas","g__Zoogloea","g__Plesiomonas","g__feature_166","g__Aerococcus","g__feature_168","g__Staphylococcus","g__Alkalimonas","g__Sneathia","g__SMB53","g__Ruminococcus.1","g__Streptococcus","g__Oribacterium","g__feature_176","g__Variovorax","g__Mobiluncus","g__Ramlibacter","g__Haemophilus","g__feature_181","g__Slackia","g__feature_183","g__feature_184","g__feature_185","g__Rothia","g__[Ruminococcus]","g__feature_188","g__Anaerotruncus","g__Peptostreptococcus","g__Gallionella","g__feature_192","g__Victivallis","g__Atopobium","g__Bacillus","g__1-68","g__ph2","g__Synergistes","g__Bifidobacterium","g__Collinsella","g__Scardovia","g__feature_202","g__feature_203","g__Holdemania","g__feature_205","g__Megasphaera","g__feature_207","g__Pantoea","g__feature_209","g__feature_210","g__feature_211","g__Bilophila","g__feature_213","g__Butyricicoccus","g__Gallibacterium","g__feature_216","g__Hydrogenophaga","g__Peptoniphilus","g__feature_219","g__Lactobacillus"
"11484.CSM5FZ3X",0,27.6392155338939,1.15906387722781,11.6797975320648,1.06990511744105,0.178317519573509,26.2126753773058,1530.58842925921,2.05065147509535,0,0.178317519573509,0.178317519573509,0.0891587597867544,0.178317519573509,0.178317519573509,1584.17284389105,0.178317519573509,0,0,58.9339402190447,0,0.534952558720527,0.0891587597867544,0,0,0,0.0891587597867544,6.77606574379334,0,7.31101830251386,0,0.0891587597867544,0,0,0,0,0.624111318507281,0,7.93512962102114,0.178317519573509,0,0,0,0,13.0171789288661,0.980746357654299,0,2.58560403381588,0,18496.7871466003,0,0,0,0.0891587597867544,245.810700732082,0.0891587597867544,6.95438326336685,1.15906387722781,0.80242883808079,0,0,0,0,0,0.713270078294035,11.6797975320648,12.3930676103589,0.0891587597867544,0,0.891587597867544,17.1184818790569,0,34.0586462385402,0,0,0.178317519573509,0.267476279360263,0,0,0,0,7.22185954272711,4.99289054805825,0.0891587597867544,0.356635039147018,0,0.178317519573509,0.0891587597867544,71.8619603881241,0,0,5.79531938613904,0.356635039147018,0,1.06990511744105,0.178317519573509,0,0.178317519573509,0,4.45793798933772,0,1.24822263701456,5.34952558720527,0,21.2197848292476,5.082049307845,44.1335860944434,4.19046170997746,0.891587597867544,1.60485767616158,0.267476279360263,0,1.42654015658807,0.445793798933772,0,243.046779178693,0,0.178317519573509,0,1.33738139680132,6.41943070464632,205.154306269322,0,0,0,0,0,0.0891587597867544,87.9996959095266,0,4.63625550891123,0,0.178317519573509,0,0,0,0.356635039147018,10.7882099341973,0.0891587597867544,0,0.356635039147018,0.713270078294035,1.9614927153086,0,0,0.80242883808079,0.0891587597867544,0.80242883808079,0,0,0,0,0,0.445793798933772,0,0.178317519573509,3.1205565925364,1.06990511744105,0,0,2063.04454270571,0.0891587597867544,0.0891587597867544,0,0.980746357654299,0,0,0.713270078294035,0,0.178317519573509,0,4.54709674912448,0,5.97363690571255,0.0891587597867544,0.356635039147018,0,0,0,2.40728651424237,183.22125136178,0,1.42654015658807,0,0.0891587597867544,0.713270078294035,23.2704363043429,1.42654015658807,0.0891587597867544,0,0.891587597867544,0,0,0.267476279360263,0,0,0,0,2.40728651424237,0.80242883808079,0,0.0891587597867544,3042.81015400236,0.713270078294035,0,0.267476279360263,43.4203160161494,2.13981023488211,0,0,0.178317519573509,7.31101830251386,0,0.0891587597867544,0,7.0435420231536,0,0,0,6.50858946443307
"11484.CSM5FZ3Z",0,10.1775963741859,0.311559072679161,0.415412096905548,0.519265121131934,0.207706048452774,3.32329677524438,374.494005360351,4.15412096905548,0,0.103853024226387,0,0.311559072679161,0.103853024226387,0,2042.16586838767,1.97320746030135,0,0,9.45062520460121,0,0,0,0,0,0,0,1.14238326649026,0,10.4891554468651,0,0,0,0,0,0,0,0.103853024226387,2.90788467833883,0.207706048452774,0,0,0.103853024226387,0,6.23118145358321,0,0,2.18091350875412,0.103853024226387,21594.782445538,0,0.207706048452774,0,0,16.8241899246747,0.103853024226387,1.35008931494303,0,0,0.103853024226387,0,0,0,0,1.86935443607496,335.029856154324,1.24623629071664,0,0,0.311559072679161,4.36182701750825,0,32.5059965828591,0,0,0.519265121131934,0,0,0,0,0,0,6.02347540513044,0,0,0,0.207706048452774,0,8.20438891388456,0,0,0.207706048452774,0.103853024226387,0,0,0.311559072679161,0,0,0,1.24623629071664,0.415412096905548,2.49247258143329,6.64659355048876,0,6.95815262316792,8.61980101079011,71.4508806677542,2.18091350875412,0,0,0.207706048452774,0.103853024226387,0.103853024226387,0,0,11.8392447618081,0,0.103853024226387,0,0,1.5577953633958,138.539934318,0,0,0,0.415412096905548,0,0.103853024226387,41.7489157390075,0,3.53100282369715,3.73870887214993,0.103853024226387,0,0,0,0.830824193811095,30.9482012194633,0,0,0,0.726971169584708,0.207706048452774,0,0,0.830824193811095,0,0.623118145358321,0.415412096905548,0,0,0,0,0.103853024226387,0,0.623118145358321,0,0.103853024226387,0,0.103853024226387,197.320746030135,0,0,0,0,0,0,0.103853024226387,0,0,0,0,0,0.311559072679161,0,0.623118145358321,0,0,0,2.59632560565967,23.6784895236162,0.103853024226387,0.726971169584708,0,0.103853024226387,0,17.447308070033,0.103853024226387,0,0,0.830824193811095,0,0,0,0,0,0,0,0.207706048452774,0.103853024226387,0,0,736.317941765083,0,0,0.519265121131934,9.76218427728037,1.5577953633958,0,0,0,1.86935443607496,0.311559072679161,0.103853024226387,0,3.11559072679161,0,0,0,0
"11484.MSM5LLIQ",0,348.283938480912,466.36838649621,125.631972292859,0.205841571206213,6.44970256446134,1.92118799792465,100.244845177426,74.7204903478553,0,0,3.01900971102446,8.64534599066094,0.0686138570687377,0,1680.49058732752,0.480296999481164,0,0,7.4789104204924,0.137227714137475,0.823366284824852,0.137227714137475,0,0,0,0,776.503020446904,0,2.05841571206213,0.0686138570687377,2.47009885447456,0,0,5.69495013670523,0,3.36207899636815,0,79.9351434850794,0,0,0.137227714137475,0.686138570687377,0,1.85257414085592,0.0686138570687377,0,51.3917789444845,1.98980185499339,10509.6531010756,0,0,0.0686138570687377,1.92118799792465,812.799750836266,0,3.91098985291805,0.0686138570687377,0,0,0,0,0,0,5.96940556498018,23.6031668316458,0.137227714137475,0.343069285343688,0,0.137227714137475,0.960593998962327,0,17.0162365530469,0,0.0686138570687377,0.548910856549901,15.7811871258097,0,0,0,0,0.480296999481164,2.67594042568077,0,3.6365344246431,0,0.137227714137475,7.13584113514872,11.8015834158229,1.92118799792465,0,11.4585141304792,0,0,0.274455428274951,0.960593998962327,0.137227714137475,0.617524713618639,0,0.411683142412426,0.205841571206213,1.6467325696497,251.538400013992,0,6.86138570687377,13.1052467001289,12.7621774147852,0.960593998962327,0.411683142412426,0,0.137227714137475,0,2.81316813981824,0,0,1046.01825101291,0,0.686138570687377,0,0,334.767008638371,560.026301395037,0.686138570687377,0.0686138570687377,0,0.137227714137475,1.71534642671844,0.0686138570687377,67.6532630697753,0.137227714137475,1.6467325696497,0.754752427756114,0.617524713618639,0,0,0,5.62633627963649,23.8776222599207,0.0686138570687377,0,0.343069285343688,0.274455428274951,0.411683142412426,0,2.74455428274951,3.15623742516193,0.0686138570687377,0.137227714137475,1.30366328430602,0.411683142412426,0.0686138570687377,0,0.0686138570687377,4.04821756705552,0.0686138570687377,0.137227714137475,0,2.1956434261996,0,0,75.2007873473365,0,0,0,0.480296999481164,0,0,0.343069285343688,0.0686138570687377,0,0,29.8470278249009,0,41.3741558124488,0.686138570687377,6.03801942204891,0,0,0,84.9439550510972,1437.66614716126,0,365.300175033959,0,0.205841571206213,0.754752427756114,4489.1988264363,0.754752427756114,0,0,0.548910856549901,0,0,4.25405913826173,0.274455428274951,0,0,0,2.95039585395572,0.411683142412426,0.0686138570687377,0.0686138570687377,229.238896466653,0.617524713618639,0,2.81316813981824,8.43950441945473,71.0153420661435,0,0,0,7.4789104204924,1.98980185499339,21.7505926907898,0,0.960593998962327,0,0,0.0686138570687377,1.02920785603106
"11484.CSM5FZ3N",0,157.609679760319,0.0993129677128666,1.09244264484153,0,0.0993129677128666,0.0993129677128666,4.7670224502176,4.469083547079,0,0,0,0,0.0993129677128666,0,1758.23678038859,0.5958778062772,0,0,5.56152619192053,0,1.7876334188316,0,0,0,0,0,9.33541896500946,0,4.1711446439404,0,0,0,0,0.0993129677128666,0,0,0,52.6358728878193,0.0993129677128666,0,0,5.56152619192053,0,0.397251870851467,0,0,2.18488528968307,0,29225.2242607361,0,0.0993129677128666,0,0,1458.11299196031,0,79.9469390088577,0.397251870851467,0.0993129677128666,0,0,0.198625935425733,0,0,12.5134339318212,92.0631210698274,0.0993129677128666,0,0,0,0.198625935425733,0,23.5371733479494,0,0,1.58900748340587,0.198625935425733,0,0,0,0.2979389031386,0,7.05122070761353,0,0,0.0993129677128666,0,0.198625935425733,0.198625935425733,0,0.397251870851467,9.73267083586093,0,0,0.0993129677128666,0.198625935425733,0,0,0,0.2979389031386,0.198625935425733,1.09244264484153,1.58900748340587,0,0.198625935425733,2.58213716053453,234.974481608642,1.1917556125544,0.198625935425733,0.198625935425733,0,0,0.0993129677128666,0,0,154.431664793508,0,0.198625935425733,0,0,29.3966384430085,392.484848401249,0,0,0,0.8938167094158,0,0,138.740215894875,0,19.1674027685833,0.397251870851467,0.2979389031386,0.0993129677128666,0,0,1.29106858026727,20.6570972842763,0.0993129677128666,0,0,0.0993129677128666,0.0993129677128666,0,0,0.397251870851467,0.397251870851467,0,0.0993129677128666,0,0.0993129677128666,0,0,0.794503741702933,0.0993129677128666,0,0,0.993129677128667,0,0,14.0031284475142,0,0,0,0,0.0993129677128666,0,0,0,0,0,0,0,4.56839651479187,0.0993129677128666,0.993129677128667,0,0,0,1.1917556125544,1132.06851895897,0,0.2979389031386,0,0,0,267.151883147611,0,3.8732057408018,0,0,0,0,0.0993129677128666,0,0,0,0,0.397251870851467,0,0,0,1.98625935425733,0.0993129677128666,0,0.397251870851467,5.16427432106907,0,0,0,0,1.1917556125544,4.27045761165327,0.0993129677128666,0,0,0,0.198625935425733,0,0.0993129677128666
"11484.CSM5MCV5",0.193022370048231,27.8917324719694,0.675578295168809,7.91391717197748,0.675578295168809,1.2546454053135,33.2963588333199,1718.8642052795,11179.2766060834,0,0.0965111850241156,0.386044740096462,0.193022370048231,0.482555925120578,0,109.926239742468,0.193022370048231,0,0,13.0290099782556,0.0965111850241156,0.482555925120578,0.0965111850241156,0,0,0.193022370048231,0,354.196049038504,0,0,0,0,0,0,5.88718228647105,0,4.05346977101285,0,30.1114897275241,0,0,0,0.289533555072347,0,0.86860066521704,2.02673488550643,0.289533555072347,8.87902902221863,0,11266.4262061602,0,0.193022370048231,0,0.482555925120578,89.0798237772587,0.0965111850241156,11.0022750927492,1.15813422028939,0.0965111850241156,0,0,0,0,0,0,6.56276058163986,0.965111850241156,0,0,0.0965111850241156,7.62438361690513,0,3.28138029081993,0.0965111850241156,0,0,3.0883579207717,0,0,0,0,0.193022370048231,7.04531650676044,0,0.289533555072347,0.0965111850241156,0.386044740096462,0.0965111850241156,90.0449356274998,0.579067110144693,0.0965111850241156,1.06162303526527,2.02673488550643,0,0.579067110144693,0.0965111850241156,0,0.0965111850241156,0.193022370048231,4.53602569613343,0,0.289533555072347,5.79067110144693,0,7.04531650676044,82.4205520105947,7.4313612468569,0.772089480192925,1.64069014540996,0,1.44766777536173,0,13.4150547183521,0.193022370048231,0,7.62438361690513,0,0.0965111850241156,0,0.579067110144693,0.386044740096462,88.4042454820899,0.289533555072347,0,0,0,0,0,424.552702921084,0,0.772089480192925,36.0951831990192,0.193022370048231,0,0,0,0.386044740096462,9.74762968743567,0,0,0.289533555072347,0,0.386044740096462,0,0,0.579067110144693,0.289533555072347,0.772089480192925,0,0,0,0,0,5.40462636135047,0.193022370048231,0,0,1.06162303526527,0,0.193022370048231,2372.82399500291,0,0.193022370048231,0,2.60580199565112,0,0,0,0,0.289533555072347,0,3.66742503091639,0,41.1137648202732,0.386044740096462,0.386044740096462,0,0,0,13.4150547183521,85.7019323014146,0,10.1336744275321,0,0.482555925120578,1.8337125154582,242.436096780578,0.675578295168809,0,0,0.289533555072347,0,0,0.386044740096462,0,0,0,0,1.35115659033762,1.8337125154582,0.193022370048231,0.289533555072347,8.58949546714629,1.2546454053135,0,0.193022370048231,12.0638981280144,5.11509280627813,0,0,0,5.11509280627813,0,0.0965111850241156,0,6.56276058163986,4.63253688115755,0,0,0.386044740096462
"11484.MSM5FZ9N",0,287.553641827648,0,29.2005747393285,0.458304984697981,57.0262345245631,24.290164188993,4509.19727230277,33.5872081642949,0,0.261888562684561,10.8683753514093,100.303319508187,0,0,3246.76345588184,0,0,0,9.55893253798647,0,0,0.0654721406711402,0,0,1.24397067275166,0,113.594164064428,0,4.38663342496639,0,2.74982990818789,0,0,4.05927272161069,0,0.13094428134228,0.0654721406711402,43.2770849836237,0,0,3.20813489288587,0,0,17.5465336998656,0,0.0654721406711402,772.243899216099,52.6396010995967,107.046949997314,0,0,0,14.2729266663086,7793.01795980448,0,19.2488093573152,0,0.0654721406711402,0.327360703355701,0,0,0,0,0.720193547382542,5.30324339436236,1.17849853208052,0.196416422013421,0,0.327360703355701,11.8504574614764,0,14.011038103624,0,0,42.0985864515432,0.982082110067103,0,0,0,0,0,2.61888562684561,0,0,0.589249266040262,0.392832844026841,0.785665688053683,105.344674339865,0.589249266040262,0,1.70227565744965,0.589249266040262,0,0.0654721406711402,0.589249266040262,0,0.261888562684561,0,0.654721406711402,0,0.720193547382542,3236.09149695245,0,5.89249266040262,1.76774779812079,294.821049442144,0.589249266040262,0,0.13094428134228,0.589249266040262,0,0.392832844026841,0,0,50.0207154727511,0,0,0,0,3.53549559624157,1824.38119980132,0.196416422013421,0,0.0654721406711402,0.0654721406711402,0,0.196416422013421,120.534210975569,0.916609969395963,1.76774779812079,7.26740761449656,0.0654721406711402,0,0,0,3.33907917422815,126.950480761341,0.13094428134228,0,0.392832844026841,608.629019678919,2.29152492348991,0,0,0.392832844026841,0.13094428134228,0.13094428134228,0.196416422013421,9.16609969395963,0,0.327360703355701,0,0.196416422013421,0.0654721406711402,0.458304984697981,0,1.70227565744965,0,0,169.703788619595,0.0654721406711402,0,0.196416422013421,2.81530204885903,0,0,0.0654721406711402,0,0,0,1.37491495409394,0,2.42246920483219,0.458304984697981,0.589249266040262,0,0,0,373.976867513553,4014.16241668828,0,1.37491495409394,0.196416422013421,0.13094428134228,0,70.1861347994623,56.5679295398651,0,0,44.1936949530196,0,0,0.720193547382542,0,0,0,0,0.654721406711402,0,0,0.327360703355701,15.0585923543622,0,0,1.96416422013421,5.10682697234894,901.158544197574,0.196416422013421,0.13094428134228,0,2.61888562684561,0.261888562684561,29.2660468799997,0.0654721406711402,6.74363048912744,0,0,0.13094428134228,0.720193547382542
"11484.MSM5LLE5",0,119.740331627892,7.08238552987028,30.6703305573196,1.32044475980632,0.960323461677326,0.300101081774164,8834.61572613327,34.2115233222547,0,0.360121298128997,0.180060649064499,0.540181947193496,0,0,3103.64538770841,0.0600202163548328,0,0,10.7436187275151,0.0600202163548328,0,0.120040432709666,0,0,1.56052562522565,0.120040432709666,112.477885448957,0,7.08238552987028,0.0600202163548328,7.92266855883794,0,0,0.360121298128997,0,0.180060649064499,0.180060649064499,8.34281007332177,0,0,7.80262812612827,0.0600202163548328,0,28.2695219031263,0,0,1832.35718509669,0.360121298128997,75.2053310926056,0,12.7843060835794,0,0.180060649064499,53.5380329885109,0,108.396510736828,0,0.0600202163548328,0,0,0,0,0,61.3406611146392,6.84230466445094,1.50050540887082,0.84028302896766,0,0.780262812612827,16.3254988485145,0,1119.31701480128,0,0,13.5045486798374,1.92064692335465,0,0.120040432709666,0,0,0,81.9275953243468,0,0,0.900303245322493,0.360121298128997,0.600202163548328,1.20040432709666,0.600202163548328,0,1.26042454345149,0.720242596257994,0,0,1.68056605793532,0,0.720242596257994,0,0.300101081774164,0.180060649064499,0.960323461677326,16.9857212284177,0,5.52185990464462,1.02034367803216,743.830541285443,0.360121298128997,0.120040432709666,0.0600202163548328,1.98066713970948,0,0.180060649064499,0,0,39.1932012797058,0,0.0600202163548328,0,0,42.0741716647378,596.480910134329,0.180060649064499,0.120040432709666,0,0.0600202163548328,0.0600202163548328,0.0600202163548328,367.023623009803,0,11.9440230546117,40.7537269049315,0,1.86062670699982,0.42014151448383,0,1.92064692335465,5.94200141912845,0.0600202163548328,0.0600202163548328,0.180060649064499,0.180060649064499,4.26143536119313,0,0,0.0600202163548328,459.154655114471,0.120040432709666,0,0.0600202163548328,0,0.0600202163548328,0,0.180060649064499,0,0.120040432709666,0.0600202163548328,0.180060649064499,0,0,19.5665905316755,0,0.0600202163548328,0.480161730838663,0.120040432709666,0,0,0,0,0,0,0.900303245322493,0,12.7242858672246,0.600202163548328,0.300101081774164,0,0,0,5.70192055370912,274.172348308876,0,6.00202163548328,0,0.180060649064499,0.0600202163548328,300.221122206874,1.32044475980632,0,0,90.8706075612169,0,0,0.900303245322493,0,0,0,0,5.16173860651562,0.180060649064499,0.0600202163548328,0.660222379903161,19.2664894499013,0,0,0.720242596257994,1.62054584158049,3.96133427941897,0.240080865419331,0,0,0.600202163548328,0.0600202163548328,20.827015075127,0,10.0233761312571,0,0,0,0.180060649064499
"11484.MSM5FZA2",0,827.445270308559,14.4282833022174,90.65212105773,0,6.93452375765486,3.85872692966278,3.91465050835355,5.87197576253032,0,0,1.50993662465065,5.5923578690765,0,0,6875.80400002956,0.055923578690765,0,0,3.91465050835355,0,0.11184715738153,0.055923578690765,0,0,0,0.055923578690765,172.300545946247,0,12.2472637332775,0.055923578690765,18.1192394958079,0,0,3.24356756406437,0,0,0,127.841300887089,0,0,0,0,0,0.167770736072295,0.055923578690765,0.055923578690765,58.775681203994,1.90140167548601,919.271786518795,0.055923578690765,9.50700837743005,0,4.4738862952612,15.5467548760327,0,216.647943848024,0.167770736072295,1.39808946726912,0,0,0.615159365598415,0,0,82.095813518043,535.188648070621,0,0.055923578690765,0,0,1.00662441643377,0,7930.85823560953,0,0,91.6587454741638,0.55923578690765,0,0.22369431476306,0,0,0.055923578690765,5.76012860514879,0.44738862952612,0,0,0,29.4717259700331,16.9448443433018,0.11184715738153,0.055923578690765,13.0301938349482,0,0,0.167770736072295,0.33554147214459,0,0.055923578690765,0,0.55923578690765,0.503312208216885,1.1184715738153,347.620965141795,0,0.67108294428918,545.36673939234,1466.81954548007,8.7800018544501,0.33554147214459,0.055923578690765,0.89477725905224,0,0.167770736072295,0.391465050835355,0,528.310047891657,0,0,0,0,1063.10723091144,4539.37280590808,0,0,0,0.167770736072295,0.055923578690765,0.167770736072295,840.307693407435,0.22369431476306,47.6468890445318,63.5851089713998,0.11184715738153,0,0,0.055923578690765,10.6814035299361,6373.05102759958,0,0,0.055923578690765,274.361077056893,0,0.11184715738153,0,0.391465050835355,0.279617893453825,0,0.11184715738153,0.89477725905224,0.78293010167071,2.51656104108442,0,1.90140167548601,0,26.5636998781134,0,2.29286672632136,0,0,142.101813453234,0,0.503312208216885,0,0.503312208216885,0,0,5.48051071169497,0,0,0,10.5136327938638,0,7.10229449372715,0.727006522979945,1.00662441643377,0,0,0,127.337988678872,1291.6668970206,0.055923578690765,25.2774575682258,0,0.279617893453825,0.11184715738153,198.640551509597,0.78293010167071,21.9220428467799,0,0.11184715738153,0,0,0,0.055923578690765,0,0,0,1.50993662465065,0.22369431476306,0.167770736072295,0.055923578690765,2.34879030501213,114.251871265233,0,0.55923578690765,1881.71657578686,147.806018479692,0,0,0,0.67108294428918,0.11184715738153,2.18101956893983,0.167770736072295,0.22369431476306,0,0.55923578690765,0.055923578690765,0.11184715738153
"11484.MSM5FZ9S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11484.MSM5LLIC",0,56.0182077926779,0.570159875752447,1.21158973597395,0,11.1893875616418,0.213809953407168,1433.09684770378,9.55017791885349,0,0.712699844690559,3.77730917685996,0,0,0,3262.66861900891,0.712699844690559,0,0,218.798852320002,0.142539968938112,20.0981356202738,0,0.142539968938112,0,0.570159875752447,0.0712699844690559,22.4500451077526,0,0.213809953407168,0.0712699844690559,0,0,0,0,0,0,19.3141657911141,33.7819726383325,0,0,0.0712699844690559,22.5925850766907,0,3.63476920792185,0,0,12.2584373286776,0.285079937876223,3225.03806720925,0,0,0,3.27841928557657,1475.50248846286,0,91.1543101359225,0,0,0,0,0,0,0,244.313506759924,519.985806686232,0.142539968938112,0.142539968938112,0,0.356349922345279,1.14031975150489,0,262.914972706347,0,0,0.356349922345279,0.356349922345279,0,0,0,0.0712699844690559,0,0.0712699844690559,0.142539968938112,0,0.213809953407168,0.285079937876223,0.356349922345279,1.56793965831923,0,0.427619906814335,23.1627449524432,0.356349922345279,0,5.41651881964825,0.427619906814335,0,47.0381897495769,0,1.06904976703584,0.926509798097726,2.35190948747884,3.13587931663846,0,8.5523981362867,140.045519481695,105.123227091857,0.855239813628671,0.427619906814335,0.0712699844690559,0,0,4.13365909920524,0.498889891283391,9.6927178877916,143.466478736209,0.0712699844690559,3.56349922345279,0,0,86.1654112230886,1754.23939772134,0.0712699844690559,0,0,1.21158973597395,0,0.0712699844690559,548.77888041173,0,41.7642108988667,0.142539968938112,32.0002230266061,0.142539968938112,0,0,5.4877888041173,28.9356136944367,0.0712699844690559,0.570159875752447,0.0712699844690559,0.142539968938112,0.641429860221503,0,0,114.317055088366,0.142539968938112,0,0.213809953407168,0,0.0712699844690559,0.0712699844690559,0,0.0712699844690559,0,0.356349922345279,23.3765549058503,7.41207838478181,0,0,28.1516438652771,0,0,0,0.213809953407168,0.0712699844690559,0,0.285079937876223,0,0,0,0.0712699844690559,0,13.5412970491206,0,982.10038598359,0,0,0,122.726913255714,1578.91523592746,1.49666967385017,3.34968927004563,0,0.213809953407168,0.285079937876223,140.900759295323,0.427619906814335,0.997779782566782,0,1.56793965831923,0,0,0,0.0712699844690559,0.0712699844690559,0,0,132.562171112444,1.49666967385017,1.06904976703584,0.142539968938112,11.9020874063323,4.2049290836743,0.285079937876223,0.997779782566782,251.440505206829,0,0.0712699844690559,0.142539968938112,0,153.943166453161,349.721813789657,0.142539968938112,0.0712699844690559,1.06904976703584,0,0,0.641429860221503,0.285079937876223
