"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank"
"4454356","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Neisseria",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Neisseriales_f__Neisseriaceae_g__Neisseria"
"4465907","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia"
"963239","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Facklamia",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Aerococcaceae_g__Facklamia"
"4305923","k__Bacteria","p__Tenericutes","c__Mollicutes","o__RF39","f__","g__",NA,"p__Tenericutes_c__Mollicutes_o__RF39_f___g__"
"1142026","k__Bacteria","p__[Thermi]","c__Deinococci","o__Deinococcales","f__Deinococcaceae","g__Deinococcus",NA,"p__[Thermi]_c__Deinococci_o__Deinococcales_f__Deinococcaceae_g__Deinococcus"
"4480529","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Dorea",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Dorea"
"4469090","k__Bacteria","p__Bacteroidetes","c__[Rhodothermi]","o__[Rhodothermales]","f__Rhodothermaceae","g__Rubricoccus",NA,"p__Bacteroidetes_c__[Rhodothermi]_o__[Rhodothermales]_f__Rhodothermaceae_g__Rubricoccus"
"4413214","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__","f__","g__",NA,"p__Proteobacteria_c__Alphaproteobacteria_o___f___g__"
"248902","k__Bacteria","p__Firmicutes","c__Bacilli","o__Turicibacterales","f__Turicibacteraceae","g__Turicibacter",NA,"p__Firmicutes_c__Bacilli_o__Turicibacterales_f__Turicibacteraceae_g__Turicibacter"
"4394973","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Thiotrichales_f__Piscirickettsiaceae_g__Methylophaga"
"4409730","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__"
"1591562","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__RFN20",NA,"p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__RFN20"
"4472202","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__[Ruminococcus]",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__[Ruminococcus]"
"101021","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Aeromonadales_f__Succinivibrionaceae_g__"
"137183","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Gardnerella",NA,"p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Gardnerella"
"165118","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Paraprevotellaceae]","g__Paraprevotella",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Paraprevotellaceae]_g__Paraprevotella"
"300662","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Sarcina",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Sarcina"
"4468965","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__Gyrocarpus",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rickettsiales_f__mitochondria_g__Gyrocarpus"
"4438545","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__"
"192142","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Arcanobacterium"
"4453535","k__Bacteria","p__Firmicutes","c__Bacilli","o__Gemellales","f__Gemellaceae","g__",NA,"p__Firmicutes_c__Bacilli_o__Gemellales_f__Gemellaceae_g__"
"4457438","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__"
"1121144","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Xanthomonadales_f__Sinobacteraceae_g__"
"869796","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g__"
"220679","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Paludibacter",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Paludibacter"
"4481861","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__",NA,"p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__"
"836917","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Marinilabiaceae","g__Cytophaga",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Marinilabiaceae_g__Cytophaga"
"4365130","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides"
"174174","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__02d06",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__02d06"
"4353790","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__","f__","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o___f___g__"
"4458306","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Veillonella",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Veillonella"
"89212","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Novosphingobium"
