iter	Logloss
0	0.6362084067
1	0.5959585396
2	0.5659583025
3	0.5387484314
4	0.5195305697
5	0.5023048547
6	0.4846297343
7	0.4716350774
8	0.4613832121
9	0.4490582897
10	0.4413531844
11	0.433072327
12	0.4242026457
13	0.4191196709
14	0.4145976267
15	0.4095415735
16	0.4054319297
17	0.4023367523
18	0.3979194058
19	0.3928861193
20	0.3897257033
21	0.386523593
22	0.3842408004
23	0.3802740012
24	0.3758778663
25	0.3708216187
26	0.3678310419
27	0.3635178098
28	0.3589896184
29	0.3559385652
30	0.3517365182
31	0.3497242776
32	0.3469384552
33	0.3438990891
34	0.3416082297
35	0.3383531267
36	0.3363926881
37	0.3350515183
38	0.3310435593
39	0.3279173541
40	0.3250590525
41	0.3228581422
42	0.3212143722
43	0.3182765693
44	0.3139071373
45	0.3110299566
46	0.3087502255
47	0.3060163024
48	0.3044097074
49	0.3030933696
50	0.2998427373
51	0.2972557651
52	0.2952511295
53	0.2941449402
54	0.2922742078
55	0.2904207023
56	0.2886645566
57	0.2862287388
58	0.2842693936
59	0.2830201653
60	0.2796770813
61	0.2783850409
62	0.2759106873
63	0.2735698481
64	0.2710972683
65	0.2706120485
66	0.2693667321
67	0.2672127888
68	0.2658485121
69	0.2644229087
70	0.2636007078
71	0.2618378317
72	0.260857819
73	0.2594840906
74	0.2589563746
75	0.2582121685
76	0.2561358555
77	0.2539999409
78	0.2519651036
79	0.2504852441
80	0.2488180756
81	0.2482756111
82	0.2457199097
83	0.2452767731
84	0.2429149166
85	0.241715085
86	0.240867226
87	0.2396108785
88	0.2392990695
89	0.2383254227
90	0.2379531131
91	0.2365574685
92	0.2347720201
93	0.2314101784
94	0.2309180825
95	0.2276304452
96	0.2261412797
97	0.2236008128
98	0.2233892307
99	0.2225291987
