iter	Passed	Remaining
0	1	124
1	2	128
2	3	121
3	4	119
4	6	116
5	7	112
6	8	111
7	9	111
8	10	110
9	12	115
10	13	113
11	15	111
12	16	109
13	17	108
14	18	106
15	19	104
16	21	103
17	22	101
18	23	99
19	24	98
20	25	96
21	26	94
22	27	93
23	28	91
24	30	90
25	31	89
26	32	88
27	33	86
28	34	85
29	36	84
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	43	76
36	44	75
37	46	75
38	47	73
39	48	72
40	49	71
41	50	70
42	51	68
43	53	67
44	54	66
45	55	64
46	56	63
47	57	62
48	58	61
49	60	60
50	61	59
51	62	57
52	63	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	100	19
84	101	17
85	102	16
86	104	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	112	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
