iter	Passed	Remaining
0	3	313
1	6	302
2	9	299
3	12	296
4	15	291
5	18	286
6	21	281
7	24	277
8	27	274
9	30	271
10	33	268
11	36	264
12	39	261
13	42	258
14	45	255
15	48	252
16	51	249
17	54	246
18	57	243
19	59	239
20	62	236
21	65	233
22	68	230
23	71	227
24	74	224
25	77	221
26	80	218
27	83	215
28	86	212
29	89	209
30	92	206
31	95	203
32	98	200
33	101	197
34	104	194
35	107	191
36	110	188
37	113	185
38	116	182
39	119	179
40	122	176
41	125	173
42	128	170
43	131	167
44	134	164
45	137	161
46	140	158
47	143	155
48	146	152
49	149	149
50	152	146
51	155	143
52	158	140
53	161	137
54	164	134
55	167	131
56	170	128
57	173	125
58	176	122
59	179	119
60	182	116
61	185	113
62	188	110
63	191	107
64	194	104
65	197	101
66	200	98
67	203	95
68	206	92
69	209	89
70	212	86
71	215	83
72	218	80
73	221	77
74	224	74
75	227	71
76	230	68
77	233	65
78	236	62
79	239	59
80	242	56
81	245	53
82	248	50
83	251	47
84	254	44
85	257	41
86	260	38
87	263	35
88	266	32
89	269	29
90	272	26
91	275	23
92	278	20
93	281	17
94	284	14
95	287	11
96	290	8
97	293	5
98	296	2
99	299	0
