"","CCIS00146684ST-4-0","CCIS00281083ST-3-0","CCIS02124300ST-4-0","CCIS02379307ST-4-0","CCIS02856720ST-4-0","CCIS03473770ST-4-0","CCIS03857607ST-4-0","CCIS05314658ST-4-0","CCIS06260551ST-3-0","CCIS07277498ST-4-0","CCIS07539127ST-4-0","CCIS07648107ST-4-0","CCIS08668806ST-3-0","CCIS09568613ST-4-0","CCIS10706551ST-3-0","CCIS10793554ST-4-0","CCIS11015875ST-4-0","CCIS11019776ST-4-0","CCIS11354283ST-4-0","CCIS11362406ST-4-0","CCIS11558985ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS13047523ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS15794887ST-4-0","CCIS16326685ST-4-0","CCIS16383318ST-4-0","CCIS16561622ST-4-0","CCIS17669415ST-4-0","CCIS19142497ST-3-0","CCIS20795251ST-4-0","CCIS21126322ST-4-0","CCIS21278152ST-4-0","CCIS22275061ST-4-0","CCIS22416007ST-4-0","CCIS22906510ST-20-0","CCIS22958137ST-20-0","CCIS23164343ST-4-0","CCIS24254057ST-4-0","CCIS24898163ST-4-0","CCIS25399172ST-4-0","CCIS27304052ST-3-0","CCIS27927933ST-4-0","CCIS28384594ST-4-0","CCIS29210128ST-4-0","CCIS29688262ST-20-0","CCIS31434951ST-20-0","CCIS32105356ST-4-0","CCIS32452666ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS34604008ST-4-0","CCIS35092938ST-4-0","CCIS35100175ST-4-0","CCIS36699628ST-4-0","CCIS36797902ST-4-0","CCIS37250421ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS41692898ST-4-0","CCIS41806458ST-4-0","CCIS44093303ST-4-0","CCIS44676181ST-4-0","CCIS44743950ST-4-0","CCIS44757994ST-4-0","CCIS45571137ST-3-0","CCIS45793747ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS47745468ST-4-0","CCIS48174381ST-4-0","CCIS48507077ST-4-0","CCIS48579360ST-4-0","CCIS48725289ST-4-0","CCIS50003399ST-4-0","CCIS50148151ST-4-0","CCIS50369211ST-20-0","CCIS50471204ST-4-0","CCIS50561855ST-4-0","CCIS51595129ST-4-0","CCIS51667829ST-4-0","CCIS52234160ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS53557295ST-4-0","CCIS54027808ST-4-0","CCIS55230578ST-4-0","CCIS55531770ST-4-0","CCIS56503244ST-3-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS59903910ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS63448910ST-4-0","CCIS63468405ST-4-0","CCIS63910149ST-4-0","CCIS64773582ST-4-0","CCIS64785924ST-20-0","CCIS65479369ST-4-0","CCIS70398272ST-4-0","CCIS71301801ST-4-0","CCIS71578391ST-4-0","CCIS72607085ST-4-0","CCIS74239020ST-4-0","CCIS74726977ST-3-0","CCIS76563044ST-4-0","CCIS76845094ST-20-0","CCIS77100899ST-4-0","CCIS77252613ST-4-0","CCIS78100604ST-4-0","CCIS78318719ST-4-0","CCIS79210440ST-3-0","CCIS80834637ST-4-0","CCIS81139242ST-4-0","CCIS81710917ST-20-0","CCIS81735969ST-20-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS82507866ST-3-0","CCIS82944710ST-20-0","CCIS83445808ST-4-0","CCIS83574003ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87290971ST-4-0","CCIS87605453ST-4-0","CCIS88007743ST-4-0","CCIS88317640ST-4-0","CCIS90164298ST-4-0","CCIS90166425ST-4-0","CCIS90443472ST-4-0","CCIS90903952ST-3-0","CCIS91228662ST-4-0","CCIS93040568ST-20-0","CCIS94417875ST-3-0","CCIS94496512ST-4-0","CCIS94603952ST-4-0","CCIS95097901ST-4-0","CCIS95409808ST-4-0","CCIS96387239ST-4-0","CCIS98482370ST-3-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST"
"k__Bacteria",75998331,47084018,84387511,10567344,71803552,43471226,63910287,60877258,23237152,66933692,66231154,66051206,20049270,75305324,65980748,40442707,55216574,53651671,60793064,95489968,37695818,5778760,40606673,61883930,50682579,42625045,45762889,53342533,76241538,87601366,69736882,33155995,50987148,80145430,46787061,92670427,90156918,85801372,97891132,68275595,133441271,12830468,29408494,46516730,96990226,51879904,48263468,81505305,28290934,51027437,53454664,55542128,45911332,71146499,46553845,52846540,66433747,30184789,52055257,73413405,55210673,88106841,44307338,55233908,74929454,57798773,73343313,42157335,83281359,49716295,37387330,84157292,42500964,12656717,37595269,75963441,51211486,58222655,33415889,35940967,63415931,54704122,20826195,79671700,36741705,58684137,80045869,49768903,56067934,40072563,36911305,31767146,46878160,58088949,23055651,31028072,24268227,98397146,55806340,77307680,129491976,38278109,61890840,67390698,24843993,89380348,12456494,16650614,77653808,95671668,72807420,46281712,60476318,126976161,75838128,153413773,69096173,89476748,77760733,56913783,41023062,95414044,66768649,88125116,73582756,85533976,95781088,45127471,8884674,43266163,80005783,73679497,35045369,60695192,46075976,50164322,25977317,58299034,82658271,62408144,70973678,62922434,61878727,69832389,53287257,93885966,13523536,38153896,40204072,69804753,50755514,62790029,34953403,45185914,45966882,69731013,83314612,65250089,63427722,36978038,65217637,55146681,61111656,84597508,65958789,81392674,81592727,55057816,59372952,62957787,111514672,57331337,33075790,63799848,71768859,77975486,54532399,69491200,51694832,72553259,73810781,69610575,72332153,58781646,69557038,52338439,64419549,71623662,61685260,66395269,61569976,72176216,120414179,68475461,130049232,132061668,178719337,147231324,103976876
"k__Viruses",5297,60616,3243550,498,1760336,509386,876,0,0,0,47631,0,0,0,0,0,0,0,0,9024,292231,0,0,1002469,0,138807,0,0,1844222,205697,233409,21624,1277,17494,835436,0,8771,3055,84449,435535,152782,0,157541,525578,46658,851,2988,108135,140940,1822,0,4664,808059,0,0,0,22954,3453,119360,7956,596191,0,74347,0,116817,306,0,0,21546,0,212785,0,239917,0,10234,0,0,68350,0,30813,0,5028,85949,126189,0,1686,55480,112180,3968,13519,0,0,3580,1703645,5037,29699,47053,0,238972,2281136,1677458,5884,0,0,0,181079,38640,0,696900,0,56627,56327,1972,11173394,0,0,1513,0,389807,0,1352171,0,3953,214339,72723,0,462344,0,1649,0,477022,1911,0,0,52969,0,2927,691449,563034,290357,792,718594,0,1891161,430659,186743,0,113886,0,0,787018,2675,0,0,19231,7384,0,7930,0,939,1493,53171,2409117,0,3925,0,0,2114,0,0,0,327001,37504,0,0,701223,3166,980,0,318344,0,0,0,6721,3443,0,0,0,0,359843,0,31584,0,85147,0,0,3396,612279,977556
"k__Bacteria|p__Firmicutes",50332285,11585508,64993872,4768729,47519727,29294178,52742144,31137894,11521411,41589546,34995962,37367889,11228695,28475308,46786310,35217500,25182864,31750174,44872029,61664320,9902732,2363401,14348705,45796391,24439816,40694300,25312599,16703298,52565030,49688700,52726931,22884150,16436636,66964482,37850846,82286367,57347152,51080086,53684602,61185288,17116430,4224950,13111479,33814791,44615532,37448798,27583219,70313343,23514585,28863457,40169334,32375387,18512767,58088470,34940476,28399448,41780384,6621692,38853196,52541696,20095017,73205886,14683478,27839017,43933423,53060487,43314239,36663547,57135416,9071793,25900385,52998104,24307542,1395354,20275781,19269616,34608956,26151494,19477762,28235685,46703607,31774254,13906139,62220787,10210204,45980227,52076945,38888989,28528762,17777321,16932658,16023977,34168438,39350368,15438268,21281674,16750769,87620493,43737924,38740373,70971388,13906535,32660340,33590997,19628354,42976004,8123515,9622138,46865070,46381835,57433034,13344121,46221523,82091350,52592252,114128174,36906811,55496051,54551695,44805524,23598619,58709841,50314151,34843591,49881384,55145351,86843644,27190981,7489861,32529931,24631915,46043835,13219297,18865953,32757224,16068092,7008895,44921054,32553403,23628306,51451192,42927854,28936214,42344588,29231080,36451704,8531718,24071433,24780355,49971184,34827721,55560779,12188902,23719442,25055768,33429998,34420722,33444228,42349701,26081054,38931853,37073427,36009796,72761422,24488147,43512006,49710940,28060313,49992558,31380516,63253536,38072479,22915651,36965109,57081920,32941173,20574860,52087196,25299414,36008152,38423060,35732211,42687175,28921721,18088911,26772374,38590905,45276826,48533704,30494049,31722890,40777766,74621660,23329887,55678115,63657216,125098335,78418509,65747423
"k__Bacteria|p__Bacteroidetes",14501568,35091029,10399678,5600179,16656105,10019983,7942298,13240850,5674311,14030709,25562025,23935880,8317042,17699100,16625165,4835290,18708460,8541634,10451055,9183653,26674494,1307201,7272258,15532965,23749433,33870,10863240,17829439,18141243,34249768,6595543,10026958,4959301,10771081,7130931,3517448,19466659,24302256,39098264,680832,75632330,3052984,7260491,10376145,395092,13701187,17484757,3233624,3210685,20245720,10623385,19611283,2903318,12194531,9199459,22425095,2497616,11665223,10558659,16722181,27866487,12949393,11862109,21156130,16884503,2659074,27642108,2081004,21723315,6321818,10829428,26605352,14834966,10498432,10965825,51462064,12488060,29524729,13260976,6028216,9525328,21975801,12817,14973357,24014749,11482716,12319646,6869219,21327949,19297944,12908131,5923423,10127391,13678550,7127188,8823740,3695696,610478,8311396,17150016,52285139,18096471,21710136,19771234,3611847,42570527,1117334,3061618,28242002,47169835,12873328,18292366,11835962,39347086,18676805,36025590,24608503,29006428,16457597,6666857,11906290,34818016,13096115,9418446,15806587,23329005,1897516,16853709,982597,8265864,54526231,21539094,16742492,39522919,11175742,13219482,17092631,11106757,47676986,19637691,6773797,7171256,24261420,23566600,21579298,54280712,3887603,8695311,9117146,11177884,8789283,1802553,14492226,20885186,17174110,19602341,42514450,24599637,19376643,8926156,11549988,16171275,20586394,9114073,33950115,22630392,29125421,17054643,8216258,23923865,47032179,11770298,8335029,15258691,9551932,39934363,29093484,9617210,25775765,28671233,32114338,17415277,27226177,21294522,26486593,17294892,12366482,20428265,11888543,34018524,27048023,27807903,39784173,44235677,53631747,30551281,46816545,32533103,34745207
"k__Bacteria|p__Actinobacteria",9170742,20188,6322949,8338,1271157,2151714,2297331,13015670,865101,10617872,4466010,3606986,314557,10985378,737330,220704,5216896,11142867,3593711,15313654,48864,40936,2540967,127557,339905,165428,9164301,11353576,2105333,1929604,8453716,12483,29370254,1386127,948595,6020506,13180933,1992531,1006473,4135285,3974205,521624,191832,163297,51392461,285417,1090325,7723064,867539,825866,1350014,2001387,355215,529349,2282246,487063,11113322,5615351,247569,1984635,67935,368009,13431365,3830698,13326214,690188,1661473,2302216,2195946,2912508,429204,2136574,542477,675239,5532978,272808,2110469,683974,211160,642021,7054195,782850,6847370,1234775,352437,888125,15480393,852499,2519180,2479369,3472743,8790737,2360180,2071049,296958,56392,379790,8095125,1342655,1384320,2055344,940334,5799727,1545255,1150056,696088,2126149,2391861,2407261,308158,2168078,768519,2179005,1273292,4266533,435610,7265947,3653310,5866808,1799723,54147,959441,3185875,39315657,5930766,2213773,6809925,397351,383077,721809,167847,2645748,2702278,49624,593247,1530400,890305,624872,1456781,12738636,11176575,11829247,1833056,1293067,8961,196630,1065807,2971035,5267019,6993271,6049267,4297582,8026245,239539,1304804,5842878,3674790,3823043,566796,870368,1653826,1079598,4209589,1428779,3544543,1391947,1181830,6135102,392578,5745502,245606,2524838,1653209,10927408,4632468,3522077,3093968,7675550,91184,2928679,624467,533156,310623,2324319,116681,3198656,12990807,3916661,866108,417897,2217480,1194469,4692342,433305,15079707,11660691,6506204,33289456,1558951
"k__Bacteria|p__Verrucomicrobia",1416145,202075,670351,38152,509624,1048734,7497,603513,534653,684554,551005,0,31280,1325994,0,0,741282,30440,1070662,6719,22375,23243,16091513,0,0,415,3817,7298501,0,875603,862980,86247,18421,735528,501070,709434,4955,5968790,1390455,407370,36534023,8606,8070731,1397671,534835,0,712753,89621,139674,492265,3727,511668,5646,6083,6420,9470,0,5207692,0,71023,0,1164641,30426,589776,0,1008736,4364,948637,89879,9885027,3425,1018,564596,0,502498,3333071,564621,162085,167012,73016,14763,0,0,470673,1606035,5205,339,0,1527114,1634,3353114,658593,493,12594,160217,513987,1510847,1846117,0,50991,0,1304447,0,2556139,333133,16119,1079038,0,102,16044,32000,8482815,12358,0,6495,6398,0,12449,0,11559,513351,115079,1502,153438,1408800,3149439,808,0,13097,57741,35726,1852148,1467270,0,629145,873371,0,11820,0,641876,0,774852,2811007,2000654,1341123,56747,0,2211398,61110,0,2676,0,0,0,0,10111376,9998,3211803,3387,1150,11359258,5740,3015,743787,2046360,12270750,997234,2249655,30173,1313199,52937,4081839,3595,8505,0,2172,335430,33113,0,270667,605,12358780,1317132,107651,24842823,4444461,52223,344,7212,30596,50549,0,863059,7597,34905,19339975,0,5810,0
"k__Bacteria|p__Proteobacteria",576412,183265,2000670,104146,5842217,954413,919707,2876748,4637080,10730,654668,1140451,157697,16817821,1831936,168064,4718227,2174121,789912,9312434,1047357,2251,348940,418689,2083414,1701653,418932,153670,3426247,851957,1047114,146153,201319,286905,318555,134245,153177,427602,2608011,1866820,114386,5022305,773960,748940,47231,441758,762409,141039,558455,598497,1303701,763898,24126446,328059,125239,1222923,11042426,1073157,2395828,1987494,941925,408978,4299205,1816334,785314,380295,721135,161926,2136810,21523372,224894,2403830,2251389,87693,318188,1622306,1439380,1677575,297045,962029,118031,120021,59869,770570,558283,327157,166164,3158196,2164929,417903,204481,370420,218964,2965462,31467,352279,276579,208119,2409354,19525119,4171095,4030319,1720631,9911200,115689,3121610,10457,321733,139374,1777398,300144,5393891,227470,4253947,294327,2588543,313441,1054446,884633,3625414,4923604,811675,149131,4243200,551191,1696417,213064,685425,16043,1687448,644072,1596957,912332,2256696,903339,18029283,985487,1634537,971109,5760306,1571308,212903,4035100,624495,1124474,2462179,38408,199749,978442,1660571,1086567,1124769,244314,340075,2424583,743290,939353,137419,1126711,1096547,332098,735100,266254,449419,1929625,724361,574209,1558108,736453,586106,845426,755050,163283,621564,500364,1575693,1188759,55837,524654,4639101,2629858,3569633,789419,5996431,22023,624429,358068,2001573,386881,1434196,528511,2393169,452945,468994,5624758,6504219,298252,2983292,1925295
"k__Viruses|p__Viruses_noname",5297,60616,3243550,498,1760336,509386,876,0,0,0,47631,0,0,0,0,0,0,0,0,9024,292231,0,0,1002469,0,138807,0,0,1844222,205697,233409,21624,1277,17494,835436,0,8771,3055,84449,435535,152782,0,157541,525578,46658,851,2988,108135,140940,1822,0,4664,808059,0,0,0,22954,3453,119360,7956,596191,0,74347,0,116817,306,0,0,21546,0,212785,0,239917,0,10234,0,0,68350,0,30813,0,5028,85949,126189,0,1686,55480,112180,3968,13519,0,0,3580,1703645,5037,29699,47053,0,238972,2281136,1677458,5884,0,0,0,181079,38640,0,696900,0,56627,56327,1972,11173394,0,0,1513,0,389807,0,1352171,0,3953,214339,72723,0,462344,0,1649,0,477022,1911,0,0,52969,0,2927,691449,563034,290357,792,718594,0,1891161,430659,186743,0,113886,0,0,787018,2675,0,0,19231,7384,0,7930,0,939,1493,53171,2409117,0,3925,0,0,2114,0,0,0,327001,37504,0,0,701223,3166,980,0,318344,0,0,0,6721,3443,0,0,0,0,359843,0,31584,0,85147,0,0,3396,612279,977556
"k__Bacteria|p__Candidatus_Saccharibacteria",1178,1958,0,0,4730,2200,1310,2591,4603,281,1484,0,0,0,0,0,0,0,0,4889,0,0,2860,8321,0,2378,0,0,0,817,25887,0,0,1307,0,2428,2387,0,8129,0,0,0,0,1423,2494,0,0,3569,0,0,420,12836,0,0,0,0,0,0,0,19833,2885,0,755,0,0,0,0,0,0,0,0,4028,0,0,0,0,0,14626,0,0,0,0,0,310,0,0,2390,0,0,0,0,0,1342,10087,0,0,0,16805,0,2414,0,0,0,6679,0,0,0,0,0,0,844,0,0,7921,0,0,0,0,0,0,1787,0,735,0,4022,0,16140,0,0,3370,0,0,0,0,0,0,0,0,0,1329,339,6315,0,0,0,0,0,0,0,0,0,0,0,1668,6019,0,351,0,336,0,0,0,5744,8479,0,0,0,0,3744,1423,0,11659,0,0,2182,0,0,2140,0,0,5907,0,0,0,0,0,56266,0,0,0,837,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia",47430072,10234942,54610520,4652226,44105065,26726743,47354491,30973310,10667800,37406825,27893542,29746770,10961919,22573499,43333448,31808407,24287271,25384311,43622786,42942228,7791398,2353491,11034807,44166703,18404388,25168998,21331763,13385552,15606025,45588795,39484925,21950027,14787465,60170276,30586652,78496434,39049885,44702743,46785162,52930164,16432838,4208099,12254840,29920147,41521075,37362598,12665326,42423144,22278004,23124392,37703963,28098432,16009114,56718660,33259678,21831628,38911010,5447116,37360308,49105661,15558194,71024355,13429776,27200921,42934407,17654903,37564005,33888890,54980329,8844424,24261561,45425454,21065040,1232555,16758450,19053963,25961853,22652548,17756353,26059191,44882683,24258289,12096239,57067077,10149040,42372946,42353312,35507282,26118534,15755983,16090115,15612040,18894049,34812386,15189922,20428446,14755845,83533123,37204509,26847188,66971688,11575555,5451549,28328987,18324323,40521962,7395752,8451708,42551551,40452679,54174584,4861705,34840350,63341349,27662708,101436216,35626091,38312363,49888061,41751109,20792102,55758480,47376052,27641388,45249895,50555378,81255057,26684603,6828740,21445470,22502525,41570689,10546676,17258423,26836089,11348784,6870299,37228150,29022124,20165926,32603880,32006538,25730705,41886148,27788311,22875976,5670747,22067740,22151386,46417278,25858082,54098592,9790270,21912158,22103310,33313716,26888899,32867353,39599906,25680679,19675431,34711882,22675772,70026996,24246918,43239845,43248910,25647791,36739082,28434998,48559268,36416358,22196560,30049524,54973936,22872691,17672502,46136574,24902564,35024313,37531866,33254881,39771784,27319047,17136475,24933983,33835500,44335770,40675182,27459838,31318264,36701037,74238544,21784920,55028245,63146893,112619843,73009754,65398030
