Sample,Burn,UN,Duration
BGB-AMPH-AMFb,No,Natural,Annual
BGB-PAQU-AMFb,No,Natural,Perennial
CANEY-ACER-AMFb,No,Urban,Perennial
CANEY-PANI-AMFb,No,Urban,Annual
CANEY-PLMA-AMFb,No,Urban,Perennial
CANEY-SMIL-AMFb,No,Urban,Perennial
CANEY-VIOL-AMFb,No,Urban,Perennial
DUD-LACT-AMFb,Yes,Urban,Annual
DUD-PANI-AMFb,Yes,Urban,Annual
DUD-PLMA-AMFb,Yes,Urban,Perennial
DUD-SMIL-AMFb,Yes,Urban,Perennial
FCL-ACER-AMFb,Yes,Urban,Perennial
FCL-PANI-AMFb,Yes,Urban,Annual
FCL-SMIL-AMFb,Yes,Urban,Perennial
FCM-LACT-AMFb,Yes,Natural,Annual
FCM-PANI-AMFb,Yes,Natural,Annual
FCM-SMIL-AMFb,Yes,Natural,Perennial
GCL-LACT-AMFb,Yes,Urban,Annual
GCL-LYQU-AMFb,Yes,Urban,Perennial
GCL-SMIL-AMFb,Yes,Urban,Perennial
LCM-KALA-AMFb,Yes,Natural,Perennial
LCM-LACT-AMFb,Yes,Natural,Annual
LGB-KALA-AMFb,Yes,Natural,Perennial
LGB-LACT-AMFb,Yes,Natural,Annual
LGB-LYQU-AMFb,Yes,Natural,Perennial
LGB-PANI-AMFb,Yes,Natural,Annual
LGB-SMIL-AMFb,Yes,Natural,Perennial
LOVE-AMBR-AMFb,No,Urban,Annual
LOVE-LACT-AMFb,No,Urban,Annual
LOVE-PAQU-AMFb,No,Urban,Perennial
LOVE-VIOL-AMFb,No,Urban,Perennial
NEON-AMBR-AMFb,Yes,Natural,Annual
NEON-PAQU-AMFb,Yes,Natural,Perennial
NEON-PLMA-AMFb,Yes,Natural,Perennial
NEON-SMIL-AMFb,Yes,Natural,Perennial
NEON-VIOL-AMFb,Yes,Natural,Perennial
NMT-AMBR-AMFb,Yes,Urban,Annual
NMT-LACT-AMFb,Yes,Urban,Annual
NMT-PAQU-AMFb,Yes,Urban,Perennial
NMT-PLMA-AMFb,Yes,Urban,Perennial
PL441-AMBR-AMFb,No,Natural,Annual
PL441-VIOL-AMFb,No,Natural,Perennial
RGB-KALA-AMFb,Yes,Natural,Perennial
RGB-LACT-AMFb,Yes,Natural,Annual
RGB-LYQU-AMFb,Yes,Natural,Perennial
RS441-PAQU-AMFb,No,Natural,Perennial
RS441-SMIL-AMFb,No,Natural,Perennial
SCM-LACT-AMFb,Yes,Natural,Annual
SCM-PANI-AMFb,Yes,Natural,Annual
SKI-AMBR-AMFb,No,Urban,Annual
SKI-PAQU-AMFb,No,Urban,Perennial
TCL-LYQU-AMFb,Yes,Urban,Perennial
TCL-PAQU-AMFb,Yes,Urban,Perennial
TCL-PLMA-AMFb,Yes,Urban,Perennial
TCL-SMIL-AMFb,Yes,Urban,Perennial
WIN-ACER-AMFb,Yes,Urban,Perennial
WIN-AMBR-AMFb,Yes,Urban,Annual
WIN-PAQU-AMFb,Yes,Urban,Perennial
WIN-VIOL-AMFb,Yes,Urban,Perennial
